participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,drift_x,drift_y,keep
p08,4,0,9.0,,0.025,1787874330.4968188,0.5305020809173584,0.0007399548298267776,0.0008025809669024,0.1301367300235953,0.0070213106484407,0.006515505875606279,0.006347502925593325,0.1274986445948173,0.0044105972780017445,0.13509932660775384,0.0018885019307929112,False,False,False,True,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,0,10.0,,0.025,1787874331.077446,0.45537686347961426,0.0877224443043007,0.0807549668874172,0.1498497516556291,0.02915591838311,0.01933583445942652,0.10879198560637966,0.14723467168421678,0.10685507995878808,0.15483535369715332,0.01626059807103521,False,False,False,True,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,0,11.0,,0.025,1787874331.7580729,0.3502519130706787,0.18050612281316453,0.1623023573975505,0.1077165203018521,0.0133625556343991,0.012119365703342072,0.1763622738780331,0.09454859519246585,0.17442536823044152,0.1021492772054024,0.002903041722237131,False,False,False,True,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,1,16.0,,0.025,1787874333.6848297,0.005000114440917969,0.5029022273342812,0.4568079470198675,0.1226444536423841,-0.0004827043913656,0.0019246675966624327,0.455185378312585,0.12457130476401382,0.4532484726649934,0.13217198677695036,0.005618270393690386,False,False,False,False,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,2,33.0,,0.025,1787874342.042609,0.2452559471130371,0.0,0.0,0.13,0.002637004809649,0.004840784440941638,0.005452266568241529,0.12609993561098448,0.003515360920649949,0.13370061762392102,0.0010881183586804106,False,False,False,True,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,2,35.0,,0.025,1787874342.6682358,0.28025102615356445,0.09527745620218799,0.0872867748360791,0.1460644817876689,-0.0025954021778322,-0.008471249641382392,0.07855575569357398,0.13596660615665637,0.0766188500459824,0.1435672881695929,0.007645264146780958,False,False,False,True,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,2,36.0,,0.025,1787874343.0534918,0.2903709411621094,0.16044290966333183,0.1405424180035212,0.1075231407142122,0.0511429306359716,0.05485775451173813,0.19486926862292558,0.1078291700001673,0.192932362975334,0.11542985201310385,0.0062563669068380744,False,False,False,True,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,2,37.0,,0.025,1787874343.6991148,0.18525004386901855,0.2600988336724148,0.2338520641305537,0.1337021303095355,-0.0167312535369183,-0.012520454691905186,0.240381116138908,0.09583413511863226,0.23844421049131642,0.1034348171315688,0.026725369759094064,False,False,False,True,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,3,42.0,,0.025,1787874345.2004948,0.2402510643005371,0.49297864065238595,0.4443326823307497,0.1235261238772719,0.0070286795935132,0.007025702419850455,0.4504546077686979,0.12023451478608715,0.4485177021211063,0.1278351967990237,0.004767004959594293,False,False,False,False,1,,False,0.0019369056475915802,-0.007600682012936545,True
p08,4,4,45.0,,0.025,1787874346.7719998,0.6206269264221191,0.0,0.0,0.13,0.0,0.0,-0.006203459246137755,0.12681871397360442,-0.008140364893729334,0.13441939598654096,0.009262645490836583,False,False,False,True,1,,False,0.0019369056475915802,-0.007600682012936545,True
