participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,drift_x,drift_y,keep
p06,28,3,10.0,gentle_sinusoidal,0.0165,1787870134.62788,1.3762571811676025,0.0,0.0,0.13,0.0304119452686216,0.14221016935505892,0.03279130884867332,0.14265038184746504,0.14254422067770978,0.14010934337190906,0.019388118640186743,False,False,False,True,1,,True,-0.10975291182903647,0.002541038475555993,True
p06,28,3,11.0,gentle_sinusoidal,0.0165,1787870136.0492623,0.11499977111816406,0.14639651207126325,0.1403364580629896,0.1216590134011136,0.0052590288611533,0.11231647063150763,0.15114249628761167,0.10627270307675094,0.26089540811664813,0.10373166460119494,0.035756853220100346,False,True,False,True,1,,True,-0.10975291182903647,0.002541038475555993,False
p06,28,3,12.0,gentle_sinusoidal,0.0165,1787870136.1943872,0.44037699699401855,0.15471929907430657,0.1485760438993759,0.1205426755907141,-0.0035186919376131,0.12279926965377422,0.16617122591540287,0.10313876070907042,0.27592413774443936,0.10059772223351443,0.04304808536928118,False,True,False,True,1,,True,-0.10975291182903647,0.002541038475555993,False
p06,28,3,13.0,gentle_sinusoidal,0.0165,1787870136.6697645,0.7106287479400635,0.19701201175293748,0.189342972245556,0.1196784368753631,-0.072146803409517,0.04883634198717371,0.13956110872105695,0.10210462849576657,0.24931402055009344,0.09956359002021058,0.03547709280208543,False,True,False,True,1,,True,-0.10975291182903647,0.002541038475555993,False
p06,28,3,14.0,gentle_sinusoidal,0.0165,1787870137.4155183,0.2401258945465088,0.25836045064194335,0.2476639332162798,0.1369747559775477,-0.0204633481468269,0.0952909120081783,0.22931054379727298,0.1332627183803549,0.33906345562630946,0.13072167990479888,0.0016191603971063737,False,False,False,False,1,,True,-0.10975291182903647,0.002541038475555993,True
p06,28,3,15.0,gentle_sinusoidal,0.0165,1787870137.8007812,0.25023913383483887,0.3007584588635325,0.2890313953829286,0.1439954470198675,-0.0653848428329661,0.05937468013674191,0.23654979656322817,0.13486509176774314,0.3463027083922646,0.13232405329218716,0.0027504835317064416,True,False,False,True,1,,True,-0.10975291182903647,0.002541038475555993,False
p06,28,3,16.0,gentle_sinusoidal,0.0165,1787870138.0861464,0.500385046005249,0.33240648936246225,0.3202005383765265,0.1397795166518488,-0.0390842105159319,0.0719268573288222,0.282905570666969,0.14761444142981833,0.39265848249600543,0.14507340295426235,0.02928481180371692,False,True,False,True,1,,True,-0.10975291182903647,0.002541038475555993,False
p06,28,3,17.0,gentle_sinusoidal,0.0165,1787870138.931899,0.3052520751953125,0.40576931499964175,0.3894833657932379,0.1163769143622261,-0.1813637600945458,-0.028436303397392726,0.23975055817767424,0.11594273544384126,0.3495034700067107,0.11340169696828527,0.015930326898241216,False,False,True,True,1,,True,-0.10975291182903647,0.002541038475555993,False
p06,28,3,18.0,gentle_sinusoidal,0.0165,1787870139.432402,0.14012551307678223,0.4579560912183957,0.4413994483525655,0.1203220476903138,-0.2228423899084593,-0.02954411272892743,0.24857405174438577,0.11619638593575261,0.35832696357342225,0.11365534746019662,0.05370480534850976,False,True,True,True,1,,True,-0.10975291182903647,0.002541038475555993,False
p06,28,3,19.0,gentle_sinusoidal,0.0165,1787870139.6275392,0.3953733444213867,0.4649247513446448,0.4473457855528624,0.1244299159372393,-0.0025372634959914,0.011650612168219165,0.45288357291699943,0.11729439215208766,0.5626364847460359,0.11475335367653167,0.10562644995386154,False,True,False,False,1,,True,-0.10975291182903647,0.002541038475555993,False
p06,28,4,21.0,gentle_sinusoidal,0.0165,1787870142.1247883,0.8858788013458252,0.0,0.0,0.13,0.0306478437898697,0.1293965184221085,0.03547160642384016,0.13143586126396808,0.1252380840005511,0.13036148932783362,0.00419907441464705,False,False,False,True,1,,True,-0.08976647757671091,0.0010743719361344661,True
p06,28,4,22.0,gentle_sinusoidal,0.0165,1787870143.0456684,0.2402498722076416,0.087630255232886,0.0842699796217628,0.1387035538143101,-0.0246344330976917,0.06505041329506364,0.06181965079230259,0.13771915851448585,0.1515861283690135,0.13664478657835138,0.01873506560127667,False,False,False,True,1,,True,-0.08976647757671091,0.0010743719361344661,True
p06,28,4,23.0,gentle_sinusoidal,0.0165,1787870143.3159194,0.7457528114318848,0.11804144205772191,0.1130774398555684,0.1296389869027257,-0.0314139604564133,0.08112977746394703,0.09462950365219155,0.15726271957651605,0.18439598122890247,0.1561883476403816,0.0398422518544066,False,True,False,True,1,,True,-0.08976647757671091,0.0010743719361344661,False
p06,28,4,24.0,gentle_sinusoidal,0.0165,1787870144.0816722,0.5105090141296387,0.16624655677516642,0.1589813593440356,0.1140351821192053,-0.0543505194169978,0.04116249852851386,0.11462963389523206,0.10275483675587639,0.20439611147194298,0.10168046481974193,0.017905057843022567,False,False,False,False,1,,True,-0.08976647757671091,0.0010743719361344661,True
p06,28,4,25.0,gentle_sinusoidal,0.0165,1787870144.7073004,2.6273860931396484,0.2137309582267692,0.2057356226403251,0.1218186830785342,-0.0215532151650595,0.1442408181401816,0.2569523740386161,0.13688547471970544,0.346718851615327,0.13581110278357097,0.006047071075759708,True,False,False,True,1,,True,-0.08976647757671091,0.0010743719361344661,False
p06,28,4,26.0,gentle_sinusoidal,0.0165,1787870147.3646865,0.5906276702880859,0.41679391894922146,0.400458075789707,0.1185120033112582,-0.1025972930115228,-0.028907226326587432,0.2717442538001428,0.11189479141620827,0.3615107313768537,0.1108204194800738,0.013881236060945082,False,False,True,True,1,,True,-0.08976647757671091,0.0010743719361344661,False
p06,28,4,27.0,gentle_sinusoidal,0.0165,1787870147.995314,0.27525949478149414,0.47626800157446514,0.4581622096718141,0.1279705915908739,0.000307362335434,0.0003073619383988091,0.46149414354974677,0.1356302881090668,0.5512606211264577,0.13455591617293233,0.09341538771907117,False,True,False,False,1,,True,-0.08976647757671091,0.0010743719361344661,False
p06,28,5,31.0,gentle_sinusoidal,0.0165,1787870150.4675753,2.092008590698242,0.0,0.0,0.13,0.0310160861930489,0.1293965184221085,0.054266117205224604,0.14129640921789433,0.13225283678095892,0.14624438577012644,0.021539086228475956,False,False,False,True,1,,True,-0.07798671957573432,-0.004947976552232128,True
p06,28,5,32.0,gentle_sinusoidal,0.0165,1787870152.5845842,0.7456281185150146,0.15129365923594926,0.1457403845648811,0.1229835312848583,-0.0510740011596109,0.027732577438615152,0.09421001377231318,0.10486578480112668,0.1721967333480475,0.10981376135335881,0.0051913669747164,False,False,False,False,1,,True,-0.07798671957573432,-0.004947976552232128,True
p06,28,5,33.0,gentle_sinusoidal,0.0165,1787870153.4703383,0.4305098056793213,0.23726983816197106,0.2274732506014889,0.1306326086599646,-0.0784110023481248,-0.002223101143935119,0.15892640182956713,0.09786248004495877,0.23691312140530146,0.1028104565971909,0.02778647862164676,True,True,False,True,1,,True,-0.07798671957573432,-0.004947976552232128,False
p06,28,5,34.0,gentle_sinusoidal,0.0165,1787870153.9358392,0.5905029773712158,0.29401285401341487,0.282382784243296,0.1433067052980132,-0.0434386336455166,0.042513586876343046,0.24975522651480692,0.14095526568186,0.32774194609054125,0.14590324223409212,0.008617175812000274,False,False,False,True,1,,True,-0.07798671957573432,-0.004947976552232128,True
p06,28,5,35.0,gentle_sinusoidal,0.0165,1787870154.5613422,0.33038783073425293,0.36397164708252794,0.3493707952751392,0.1276902047587288,-0.0514076550506685,0.0383335554345387,0.31297679066133416,0.1413567073739046,0.3909635102370685,0.1463046839261367,0.03021693861504078,False,True,False,True,1,,True,-0.07798671957573432,-0.004947976552232128,False
p06,28,5,36.0,gentle_sinusoidal,0.0165,1787870154.9367194,0.13512492179870605,0.4090448394500003,0.3928013252269901,0.1167901490066225,-0.0854655023407166,-0.00877485857529181,0.30479423506596026,0.10142549593729477,0.3827809546416946,0.1063734724895269,0.01057223428366109,False,False,False,True,1,,True,-0.07798671957573432,-0.004947976552232128,True
p06,28,5,37.0,gentle_sinusoidal,0.0165,1787870155.1069694,0.23012590408325195,0.4390990084234808,0.4225972337472657,0.1169651864049624,-0.1118388330656315,-0.02871697244844934,0.30054549095660843,0.10186999432468312,0.37853221053234276,0.10681797087691525,0.01769033646707437,False,False,True,True,1,,True,-0.07798671957573432,-0.004947976552232128,False
p06,28,5,38.0,gentle_sinusoidal,0.0165,1787870155.377221,0.24512624740600586,0.47120272731770724,0.4547861857758965,0.1227740652365571,-0.1486952461713671,-0.028561311257983835,0.31275307086343335,0.09951041820622358,0.3907397904391677,0.10445839475845571,0.03776621068162901,False,True,True,True,1,,True,-0.07798671957573432,-0.004947976552232128,False
