participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,keep
B,57,4,25.0,constrained_to_unconstrained,0.01,1786748805.2974775,0.25525593757629395,0.0002886464881083,0.0011780832858108,0.009625146615339983,0.003800887533718952,0.12867722298130663,0.00974377824529255,0.12795212139337264,0.0020549238038126234,False,False,False,True
B,57,4,26.0,constrained_to_unconstrained,0.01,1786748805.5977273,0.1901259422302246,0.1001919997919531,-0.0180969911074484,-0.0010540687574702723,0.09401954334290874,0.12719627971682518,0.09996243405448234,0.1264711781288912,0.003623863825808608,False,False,False,True
B,57,4,27.0,constrained_to_unconstrained,0.01,1786748805.8379784,0.1601259708404541,0.183987488602081,0.0055576111011699,0.014288373466884663,0.19270917723711284,0.12846635687194635,0.19865206794868645,0.12774125528401237,0.0022898599424284803,False,False,False,True
B,57,4,28.0,constrained_to_unconstrained,,1786748806.0381043,0.17012500762939453,0.25240756841554685,-0.0230995245386055,-0.02240756841554667,0.22876373350898951,0.12583805735370876,0.2347066242205631,0.1251129557657748,0.0067849475238105795,False,False,True,False
B,57,4,29.0,constrained_to_unconstrained,,1786748806.2633543,0.6806290149688721,0.29228342541386637,0.0414573571839462,0.0425857195082191,0.2978222529885772,0.20395938871568742,0.3037651437001508,0.20323428712775343,0.0027575192310984125,False,False,False,True
B,57,5,30.0,constrained_to_unconstrained,0.01,1786748808.2602353,0.15012502670288086,7.070896861848693e-05,-7.070889790958902e-05,0.003894808272760826,-0.0010113659728807724,0.12972411778755233,0.004931524738692825,0.12899901619961834,0.0013910927551721442,False,False,False,True
B,57,5,31.0,constrained_to_unconstrained,0.01,1786748808.4603617,0.2202606201171875,0.0496144710597994,0.0490236022795664,0.04952345997468343,0.09245270186476884,0.1315362751798247,0.09839559257634244,0.1308111735918907,0.0010995767288439322,False,False,False,True
B,57,5,32.0,constrained_to_unconstrained,0.01,1786748808.8507411,0.2952461242675781,0.1913642633019209,0.0249279775897522,0.026739184973941316,0.21256701515239368,0.12274026519312745,0.2185099058639673,0.12201516360519347,0.00799517479626025,True,False,False,False
B,57,5,33.0,constrained_to_unconstrained,,1786748809.1809874,0.15012621879577637,0.26053459495357156,-0.0211471764942809,-0.016683953171409166,0.24663677536623643,0.12805204844700124,0.25257966607781,0.12732694685906726,0.018152436219914355,False,False,False,True
B,57,5,34.0,constrained_to_unconstrained,,1786748809.3862464,0.5154938697814941,0.3225027849879665,0.0178870327033769,0.018302349269331386,0.30011019212847445,0.21122921820801988,0.30605308284004806,0.2105041166200859,0.0007941150287803208,False,False,False,True
B,63,6,37.0,constrained_to_unconstrained,0.01,1786748811.2279932,0.3052511215209961,0.0002767937830512,-0.0002767935062576,0.00567148207901777,0.0007641944960497442,0.12940961600848883,0.006707085207623342,0.12868451442055484,0.0015186487192991114,False,False,False,True
