participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,keep
p04,77,0,1.0,constrained_to_unconstrained,0.05,1787857930.2216966,0.18011689186096191,0.2061675912752162,0.0215205064546846,0.021849650104094342,0.2290172673028571,0.1251669801172195,0.2275632928435744,0.12517431197272638,0.004846992284878218,False,False,False,True
p04,77,0,2.0,constrained_to_unconstrained,,1787857930.4519386,0.5905101299285889,0.27325335056638816,0.0594041945539159,0.05208087487477481,0.3165591196631205,0.07934991899186994,0.3151051452038378,0.07935725084737683,0.023330359655254717,False,False,False,True
p04,77,1,8.0,constrained_to_unconstrained,0.05,1787857934.1803355,0.34537720680236816,0.0,0.3330352885069886,0.3372510036213084,0.3366359025695538,0.02707438718804965,0.3351819281102711,0.027081719043556537,0.03990677319403343,False,False,False,True
p04,77,1,9.0,constrained_to_unconstrained,0.05,1787857934.5807126,0.34537696838378906,0.23298473746171094,0.0222098264924057,0.014890429808507133,0.2459901799458155,0.12022485534848325,0.24453620548653282,0.12023218720399013,0.0032491406440110253,False,False,False,True
p04,77,1,10.0,constrained_to_unconstrained,,1787857934.9710996,0.4103729724884033,0.30233547109959463,0.0257176470357424,0.021012624644877465,0.31867465172923953,0.08466204338759958,0.31722067726995684,0.08466937524310647,0.028597596817569227,False,False,False,True
p04,77,2,12.0,constrained_to_unconstrained,0.05,1787857937.0379765,0.08012604713439941,0.0,0.0185205905075815,0.01784482758620691,0.018744762675643737,0.14622259453849576,0.017290788216361045,0.14622992639400265,0.016239380233804578,False,False,False,True
p04,77,2,13.0,constrained_to_unconstrained,,1787857937.4133544,0.07012510299682617,0.26888028708560596,-0.0401187446104621,-0.028949638602151384,0.2513156350064336,0.1401779680033661,0.24986166054715092,0.14018529985887299,0.021361639253925573,False,False,True,False
p04,77,2,14.0,constrained_to_unconstrained,,1787857937.5284796,0.7557539939880371,0.27831230975413174,0.0287376558656065,0.03907739690026768,0.3158161212934013,0.0922110158040641,0.3143621468341186,0.09221834765957099,0.031993242701621835,False,False,False,True
p04,71,3,17.0,constrained_to_unconstrained,0.03,1787857940.2759943,0.14013004302978516,8.39358594616842e-05,0.0231686141238609,0.02172640896812454,0.02238554958035679,0.1434525566906846,0.0209315751210741,0.1434598885461915,0.013488544616561866,False,False,False,True
p04,71,3,18.0,constrained_to_unconstrained,,1787857940.5212464,0.1852560043334961,0.24303343902397997,0.0670254676167745,0.06437386610264159,0.3124829020924712,0.11828465581116793,0.3110289276331885,0.11829198766667481,0.025091120204449834,False,False,False,True
p04,71,3,19.0,constrained_to_unconstrained,,1787857940.7514975,0.5705032348632812,0.37702031640109734,0.0226738599358574,0.02367271541658056,0.40563000464205645,0.08997906788946412,0.40417603018277376,0.08998639974497101,0.04072427014781947,False,True,False,False
p04,71,4,21.0,constrained_to_unconstrained,0.03,1787857943.569137,0.23512721061706543,0.0,0.0248908942104939,0.025775862068965538,0.026743858923458992,0.14571268384033292,0.0252898844641763,0.1457200156958398,0.01572752579746117,False,False,False,True
p04,71,4,22.0,constrained_to_unconstrained,0.03,1787857943.8893895,0.25025200843811035,0.1762433241789175,0.0412989394171266,0.03789460685556542,0.21618837157540574,0.14451940300035704,0.21473439711612305,0.14452673485586393,0.014538975113780163,False,False,False,True
p04,71,4,23.0,constrained_to_unconstrained,,1787857944.2046416,0.615628719329834,0.33702198789060905,0.0472513720097629,0.05176222775374251,0.3928967600743889,0.10034227688615319,0.3914427856151062,0.10034960874166007,0.04430672368543542,False,True,False,False
p04,71,5,26.0,constrained_to_unconstrained,0.03,1787857947.7530365,0.22512578964233398,0.0,0.0119009373487465,0.013879310344827596,0.014375686744149529,0.14280057872065088,0.012921712284866837,0.14280791057615777,0.012843658644299706,False,False,False,True
p04,71,5,27.0,constrained_to_unconstrained,0.03,1787857948.0482874,0.1901261806488037,0.0869513009419931,0.0887674950064469,0.07960042319593805,0.16824090149886178,0.14650643900773727,0.1667869270395791,0.14651377086324416,0.016515445756281458,False,False,False,True
p04,71,5,28.0,constrained_to_unconstrained,,1787857948.2935386,0.15512633323669434,0.2558158315990448,0.0344435379416323,0.03769785465869602,0.29701583270350984,0.12122527099783639,0.29556185824422715,0.12123260285334328,0.020945230349198936,False,False,False,True
p04,71,5,29.0,constrained_to_unconstrained,,1787857948.4986656,0.5505030155181885,0.34384847143613856,0.0624237344684879,0.056844560381539344,0.40923854192529,0.08951841235428543,0.40778456746600733,0.08952574420979231,0.04230708999506876,False,True,False,False
p04,75,6,31.0,constrained_to_unconstrained,0.05,1787857951.1611795,0.20012617111206055,0.0,0.0160197473833588,0.013879310344827596,0.01523716370475601,0.1461399497187338,0.013783189245473318,0.1461472815742407,0.01614756766524154,False,False,False,True
p04,75,6,32.0,constrained_to_unconstrained,0.05,1787857951.4464335,0.7106361389160156,0.1874551031362032,0.0497896464566305,0.07203207635097639,0.2611867070649896,0.14059634645393526,0.2597327326057069,0.14060367830944215,0.010606521108457395,False,False,False,True
p04,75,7,34.0,constrained_to_unconstrained,0.05,1787857953.2430766,0.1651148796081543,0.0,0.0180631139045355,0.015862068965517253,0.01808713975458629,0.14295082475438078,0.0166331652953036,0.14295815660988767,0.012981079010474645,False,False,False,True
p04,75,7,35.0,constrained_to_unconstrained,,1787857953.4983177,0.7907657623291016,0.2339547554654426,0.0300681073236308,0.02749823598754897,0.2625915874091444,0.13741671321414659,0.2611376129498617,0.13742404506965347,0.007430740797288141,False,False,False,True
p04,75,8,36.0,constrained_to_unconstrained,0.05,1787857955.8104546,0.14012598991394043,0.0,0.0135438659243125,0.013879310344827596,0.014535599296676787,0.14201120474932405,0.013081624837394095,0.14201853660483094,0.012044979215026917,False,False,False,True
p04,75,8,37.0,constrained_to_unconstrained,0.05,1787857956.0457056,1.1660058498382568,0.1513086143241071,0.090563115209639,0.10424694123144859,0.2576321492034876,0.14215640888944803,0.2561781747442049,0.14216374074495491,0.012179665166356192,False,False,False,True
p04,81,9,38.0,constrained_to_unconstrained,0.05,1787857958.5429685,0.23025107383728027,0.0,0.0240934306029311,0.021810344827586224,0.023022059813326036,0.1435668108215461,0.021568085354043344,0.14357414267705298,0.013576304322955948,False,False,False,True
p04,81,9,39.0,constrained_to_unconstrained,0.05,1787857958.8683524,0.21011900901794434,0.1964084678701802,0.0425146522064155,0.05959153212981996,0.2580589235178931,0.15285354816875701,0.2566049490586104,0.1528608800242639,0.022868882763425535,False,False,False,True
p04,81,9,40.0,constrained_to_unconstrained,,1787857959.1335964,1.2611360549926758,0.3572484212525867,0.0503414489055349,0.048751578747413316,0.40823854123120906,0.14038554436654466,0.40678456677192637,0.14039287622205154,0.010422447945971964,False,False,False,True
p04,81,10,42.0,constrained_to_unconstrained,0.05,1787857962.1463623,0.20013213157653809,0.0,0.0124326412893508,0.01189655172413794,0.013532400452987925,0.14654386335264977,0.012078425993705233,0.14655119520815665,0.016552194448726073,False,False,False,True
p04,81,10,43.0,constrained_to_unconstrained,,1787857962.6217506,0.12511491775512695,0.2311557552365434,0.0357467594074697,0.03484424476345674,0.26703340323169356,0.16416851596380871,0.26557942877241086,0.1641758478193156,0.03417843551607496,False,False,False,True
p04,81,10,44.0,constrained_to_unconstrained,,1787857962.8069906,1.0960056781768799,0.3141284038190227,0.1012333343891921,0.11187159618097736,0.42648512956770757,0.1414125658888693,0.4250311551084249,0.1414198977443762,0.011460921643390621,False,False,False,True
p04,81,11,46.0,constrained_to_unconstrained,0.05,1787857965.979889,0.1701185703277588,0.0,0.0143264831026103,0.013879310344827596,0.015575272653378592,0.146792451822126,0.0141212981940959,0.14679978367763288,0.016801526410848915,False,False,False,True
p04,81,11,48.0,constrained_to_unconstrained,,1787857966.4903846,0.5905120372772217,0.4576089912626612,-0.0346082465908241,-0.029608991262661144,0.42357149777541814,0.14479629863728152,0.42211752331613545,0.1448036304927884,0.015929563952074312,False,False,True,False
