participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,drift_x,drift_y,keep
p07,13,0,1.0,straight,0.0165,1787872046.509749,0.6656279563903809,0.0,0.0,0.13,0.0,0.054,-0.0072909591770194265,0.13146578507292647,0.054629332133132494,0.1302473162225252,0.0006761835902454489,False,False,False,True,1,,True,-0.06192029131015192,0.0012184688504012775,True
p07,13,0,2.0,straight,0.0165,1787872047.225377,0.11512494087219238,0.2727041023981932,0.2727041023981932,0.1293984132971852,-0.1411523987105569,-0.02870410239819321,0.1300479195620705,0.10808726461637243,0.19196821087222243,0.10686879576597115,0.056941721866781175,False,True,True,True,1,,True,-0.06192029131015192,0.0012184688504012775,False
p07,13,0,3.0,straight,0.0165,1787872047.370502,0.09512591361999512,0.3216655081279536,0.3216655081279536,0.1291875,-0.2227123029729217,-0.0296655081279536,0.1086820079459641,0.10649702910998939,0.17060229925611603,0.10527856025958811,0.1238892704342891,False,True,True,True,1,,True,-0.06192029131015192,0.0012184688504012775,False
p07,13,0,4.0,straight,0.0165,1787872047.520628,0.10012483596801758,0.364444463632803,0.364444463632803,0.1291875,-0.1517308639161074,-0.028444463632802952,0.21920544934958597,0.1120794467725585,0.2811257406597379,0.11086097792215723,0.058116146674039734,False,True,True,True,1,,True,-0.06192029131015192,0.0012184688504012775,False
p07,13,0,5.0,straight,0.0165,1787872047.665757,0.14512205123901367,0.3905933429573845,0.3905933429573845,0.1288431291390728,-0.0965678957174328,-0.028593342957384527,0.2945558708367951,0.16173048413528474,0.356476162146947,0.16051201528488346,0.03100799673264596,False,True,True,True,1,,True,-0.06192029131015192,0.0012184688504012775,False
p07,13,0,6.0,straight,0.0165,1787872047.851004,0.2752511501312256,0.4279797572771845,0.4279797572771845,0.1288431291390728,-0.0277362082454617,0.030020242722815504,0.40833570093236377,0.09745075106502497,0.4702559922425157,0.0962322822146237,0.035923086035047486,False,True,False,True,1,,True,-0.06192029131015192,0.0012184688504012775,False
p07,13,0,7.0,straight,0.0165,1787872048.166255,0.38538408279418945,0.458,0.4603442771975021,0.1298762417218543,-0.0068001188822772,0.0,0.44905298711733227,0.15828920101762067,0.5109732784274842,0.1570707321672194,0.05948943408223923,False,True,False,False,1,,True,-0.06192029131015192,0.0012184688504012775,False
p07,13,1,11.0,straight,0.0165,1787872051.824644,0.9960079193115234,0.0,0.0,0.13,0.0,0.044,-0.010163983811870995,0.1213465551124006,0.04383186312774344,0.12675024097675114,0.003254105670841013,False,False,False,True,1,,True,-0.053995846939614435,-0.005403685864350555,True
p07,13,1,12.0,straight,0.0165,1787872052.855648,0.3853769302368164,0.1417173632522093,0.1417173632522093,0.13159809602649,-0.0780214552039078,0.002282636747790723,0.08909969380640342,0.14205228843589557,0.14309554074601785,0.14745597430024612,0.017479390301522735,False,False,False,True,1,,True,-0.053995846939614435,-0.005403685864350555,True
p07,13,1,13.0,straight,0.0165,1787872053.281025,0.2252509593963623,0.2768317226342373,0.2768317226342373,0.13159809602649,-0.1003703458253126,-0.028831722634237278,0.186956126861591,0.11162860473710229,0.24095197380120542,0.11703229060145284,0.014759273706523066,False,False,True,True,1,,True,-0.053995846939614435,-0.005403685864350555,False
p07,13,1,14.0,straight,0.0165,1787872053.551276,0.7907531261444092,0.3377765822805816,0.3377765822805816,0.13159809602649,-0.0727267527866456,0.05622341771941841,0.33928052322358315,0.12527324273217214,0.3932763701631976,0.1306769285965227,0.00099089478023696,False,False,False,True,1,,True,-0.053995846939614435,-0.005403685864350555,True
p07,13,1,15.0,straight,0.0165,1787872054.38204,0.7407419681549072,0.4553604419535156,0.4553604419535156,0.1304379193912476,-0.000334609428704,0.0026395580464844137,0.4516305377659686,0.1537238508057647,0.5056263847055831,0.15912753667011525,0.055827286451995,False,True,False,False,1,,True,-0.053995846939614435,-0.005403685864350555,False
p07,13,2,19.0,straight,0.0165,1787872062.854936,0.5055022239685059,0.006657379831272,0.006657379831272,0.1319424668874172,-0.006657379666927,0.06534262016872801,-0.003150983542735808,0.12405124001529147,0.07180835159810851,0.11260462359322126,0.017396432089467714,False,False,False,True,1,,True,-0.07495933514084432,0.011446616422070205,True
p07,13,2,20.0,straight,0.0165,1787872063.400445,0.14011788368225098,0.1578318382524424,0.1578318382524424,0.1288431291390728,-0.1014082137532263,-0.021831838252442393,0.06118278207569845,0.1396500510155087,0.1361421172165428,0.1282034345934385,0.0018021777279978186,False,False,True,True,1,,True,-0.07495933514084432,0.011446616422070205,False
p07,13,2,21.0,straight,0.0165,1787872063.580564,0.5155019760131836,0.1938456756647059,0.1938456756647059,0.1288431291390728,-0.0688299954127425,0.04215432433529412,0.16190902900739457,0.1104678775183172,0.2368683641482389,0.099021261096247,0.030990907059343178,False,True,False,True,1,,True,-0.07495933514084432,0.011446616422070205,False
p07,13,2,22.0,straight,0.0165,1787872064.136066,0.5355019569396973,0.3185892884272301,0.3185892884272301,0.1291875,-0.0411088156889385,0.05941071157276989,0.3031972055312724,0.1623508337626,0.3781565406721167,0.1509042173405298,0.020904803457629868,False,False,False,True,1,,True,-0.07495933514084432,0.011446616422070205,True
p07,13,2,23.0,straight,0.0165,1787872064.726693,0.7006282806396484,0.4419339057545164,0.4419339057545164,0.1281543874172185,0.0160660947289599,0.01606609424548361,0.43900370545868467,0.1527375986103389,0.513963040599529,0.1412909821882687,0.057090701448837815,False,True,False,False,1,,True,-0.07495933514084432,0.011446616422070205,False
p07,72,3,29.0,constrained_to_unconstrained,0.03,1787872068.6553328,0.6105022430419922,0.0,0.0,0.13,0.0,0.0,-0.0077933973660130875,0.12403610199253402,-5.571696897121916e-05,0.11319544816956696,0.01680464419743369,False,False,False,True,1,,False,-0.007737680397041868,0.010840653822967061,True
p07,72,3,30.0,constrained_to_unconstrained,0.03,1787872069.32096,0.25025105476379395,0.2176652484552114,0.2176652484552114,0.1309093543046357,-0.0723889725927855,-0.02930317948969402,0.14441777655287974,0.10937691481682016,0.1521554569499216,0.0985362609938531,0.047967547632694486,False,True,True,True,1,,False,-0.007737680397041868,0.010840653822967061,False
p07,72,3,31.0,constrained_to_unconstrained,,1787872069.616211,0.16512608528137207,0.3282751978254772,0.3290558702420645,0.1167756329328529,-0.1168724161174319,-0.028298509541327843,0.21948788802490166,0.11212136372075193,0.22722556842194352,0.10128070989778487,0.06965850271741442,False,True,True,True,1,,False,-0.007737680397041868,0.010840653822967061,False
p07,72,3,32.0,constrained_to_unconstrained,,1787872069.851462,0.16512513160705566,0.39279238144219747,0.3901130744732068,0.095911607631353,0.0190744428614838,0.02914367785146904,0.40979326414752004,0.09641174309281808,0.4175309445445619,0.08557108926985102,0.015899088762449037,False,False,False,True,1,,False,-0.007737680397041868,0.010840653822967061,True
p07,72,3,33.0,constrained_to_unconstrained,,1787872070.041588,1.1611287593841553,0.44090997683987654,0.4331079509736376,0.0725548262824755,-0.0076679382513563,0.015014759620376739,0.44179519265710737,0.08843794696118194,0.44953287305414924,0.07759729313821488,0.01826426756203925,False,False,False,False,1,,False,-0.007737680397041868,0.010840653822967061,True
p07,72,4,35.0,constrained_to_unconstrained,0.03,1787872073.699976,0.5455019474029541,0.0,0.0,0.13,0.0,0.01189655172413794,-0.005710935765944549,0.12552969533174252,0.012435033283126765,0.10056496706897622,0.02943995798298336,False,False,False,True,1,,True,-0.018145969049071314,0.0249647282627663,True
p07,72,4,36.0,constrained_to_unconstrained,0.03,1787872074.315603,0.6305029392242432,0.1379587272661465,0.1379587272661465,0.1300006061115992,0.0464278143674326,0.07023092790626745,0.18974739245525624,0.11181324839305715,0.20789336150432755,0.08684852013029085,0.04315249708746485,False,True,False,True,1,,True,-0.018145969049071314,0.0249647282627663,False
p07,72,4,37.0,constrained_to_unconstrained,,1787872074.9812312,0.2401258945465088,0.34762694061642846,0.3499524973738405,0.1184377939893355,-0.1279104712555674,-0.029656246773497874,0.22955953524350986,0.14506558976425576,0.24770550429258117,0.12010086150148946,0.06818152096209965,False,True,True,True,1,,True,-0.018145969049071314,0.0249647282627663,False
p07,72,4,38.0,constrained_to_unconstrained,,1787872075.281482,0.14012503623962402,0.41645901485309234,0.4116173666153356,0.085519197590849,-0.0359840813839494,-0.01051762716723137,0.38056480882146027,0.10257746472284433,0.39871077787053155,0.07761273646007803,0.0025934104839393885,False,False,False,True,1,,True,-0.018145969049071314,0.0249647282627663,True
p07,72,4,39.0,constrained_to_unconstrained,,1787872075.461607,1.1361370086669922,0.4456888007666526,0.4374480739498724,0.0704500000012335,-0.0213449407008951,0.02223193939945478,0.44040958825952853,0.08878495776088455,0.45855555730859987,0.06382022949811825,0.007938597546661987,False,False,False,False,1,,True,-0.018145969049071314,0.0249647282627663,True
p07,72,5,40.0,constrained_to_unconstrained,0.03,1787872079.04,0.5904979705810547,0.0,0.0,0.13,0.0,0.01784482758620691,-0.008040610006196254,0.12093173254805746,0.018667859223208863,0.09400708914915665,0.036002319544610785,False,True,False,True,1,,True,-0.02670846922940512,0.026924643398900806,False
p07,72,5,41.0,constrained_to_unconstrained,0.03,1787872079.6854978,0.2752513885498047,0.2029266724487174,0.2029266724487174,0.1309093543046357,-0.0567015917659384,-0.02646115520733794,0.14922628672057536,0.10974270870423516,0.17593475594998048,0.08281806530533437,0.04718491993296312,False,True,True,True,1,,True,-0.02670846922940512,0.026924643398900806,False
p07,72,5,42.0,constrained_to_unconstrained,,1787872080.000874,0.33525586128234863,0.34096608234137255,0.344425460152418,0.1229734250586633,-0.1338461097942318,-0.028993390351369053,0.2212656104305158,0.11213389129170115,0.2479740796599209,0.08520924789280035,0.0630132271910794,False,True,True,True,1,,True,-0.02670846922940512,0.026924643398900806,False
p07,72,5,43.0,constrained_to_unconstrained,,1787872080.401259,1.186007022857666,0.45250625309767767,0.4453753221377546,0.0727699073446887,-0.0299032862581545,0.019413154970381097,0.4417963221407982,0.08842974538370896,0.46850479137020334,0.06150510198480815,0.01070737260411908,False,False,False,False,1,,True,-0.02670846922940512,0.026924643398900806,True
p07,75,6,46.0,constrained_to_unconstrained,0.05,1787872084.2998888,0.6856272220611572,0.0,0.0,0.13,0.0,0.003965517241379313,-0.0033101113663257745,0.12473049707489806,0.004427569030716094,0.113889843251931,0.016116781387838664,False,False,False,True,1,,False,-0.007737680397041868,0.010840653822967061,True
p07,75,6,47.0,constrained_to_unconstrained,0.05,1787872085.040516,0.34026408195495605,0.20421997094704,0.20421997094704,0.1302206125827814,-0.0642882625859109,-0.02973721232635021,0.1491366793163225,0.1096517096075486,0.15687435971336436,0.09881105578458153,0.035816280562782965,False,False,True,True,1,,False,-0.007737680397041868,0.010840653822967061,False
p07,75,6,48.0,constrained_to_unconstrained,,1787872085.4258928,0.7206282615661621,0.2905636397075123,0.2905636397075123,0.1302206125827814,-0.0324514789994438,-0.0015892807331532866,0.2806278602843727,0.161454813002427,0.28836554068141457,0.15061415917945994,0.020623147635361976,False,False,False,False,1,,False,-0.007737680397041868,0.010840653822967061,True
p07,75,7,49.0,constrained_to_unconstrained,0.05,1787872087.928159,0.5906198024749756,0.0,0.0,0.13,0.0,0.0,-0.010944902224513183,0.1211192622633793,-0.003207221827471315,0.11027860844041223,0.019980479396080268,False,False,False,True,1,,False,-0.007737680397041868,0.010840653822967061,True
p07,75,7,50.0,constrained_to_unconstrained,,1787872088.568779,0.17012500762939453,0.2555988899282975,0.2555988899282975,0.1305649834437086,-0.1753614587020555,-0.02956440716967665,0.09885661275495276,0.13397130208571625,0.10659429315199463,0.12313064826274919,0.11963756469669921,False,True,True,True,1,,False,-0.007737680397041868,0.010840653822967061,False
