participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,keep
p05,10,0,5.0,corner,0.05,1787864601.8015456,3.1228859424591064,0.0,0.0200113417092705,0.15,0.17307428186880966,0.10843888215514694,0.1505622036040261,0.11604497140674454,0.013966348697170554,False,False,False,True
p05,10,0,6.0,corner,0.05,1787864604.9544318,0.12012600898742676,0.3711449558323617,-0.0306430354900481,-0.02981162249902819,0.25194322856415236,0.17550398417224575,0.2294311502993688,0.18311007342384333,0.04837692812996046,False,True,True,False
p05,10,0,7.0,corner,0.05,1787864605.1195576,0.3503758907318115,0.3907152271479582,0.054683038775884,-0.007381893814624674,0.3065467025381889,0.2039247783083767,0.2840346242734053,0.2115308675599743,0.018482441994223515,False,False,False,True
p05,10,0,8.0,corner,0.05,1787864605.4999356,0.10512399673461914,0.45150020961708026,0.0036764597550875,0.0031664570495865685,0.3615558195454889,0.1743118682016196,0.33904374128070536,0.1819179574532172,0.0323771785605619,False,False,False,True
p05,10,0,9.0,corner,0.05,1787864605.6300597,0.44050097465515137,0.4667001436512634,0.1125225221073771,0.09396652301540348,0.38407553004735606,0.14451843162960706,0.36156345178257254,0.15212452088120465,0.022142688359071728,False,False,False,True
p05,10,0,10.0,corner,0.05,1787864606.5209377,0.6756284236907959,0.6480541701302436,0.0119458302166324,-0.0033875034635766355,0.46771990370835026,0.144414017557301,0.44520782544356674,0.1520201068088986,0.02202675547367606,False,False,False,True
p05,10,1,14.0,corner,0.05,1787864610.0842006,0.5906288623809814,0.0,0.0,0.0,-0.014938353941676431,0.14479521307474094,-0.03745043220645998,0.15240130232633853,0.043638895705169656,False,True,False,False
p05,10,1,15.0,corner,0.05,1787864610.7098277,0.25025081634521484,0.1270236909421163,-0.062102163340588,0.008976309057883713,0.15938057716587617,0.10610335999680977,0.13686849890109262,0.11370944924840737,0.016313685485855562,False,False,False,True
p05,10,1,16.0,corner,0.05,1787864610.9950786,0.495502233505249,0.16822967944402464,-0.0148963458866048,-0.014896346110691294,0.23536907398638302,0.10955026710219123,0.21285699572159947,0.11715635635378883,0.060893559316426454,False,True,False,False
p05,10,1,17.0,corner,0.05,1787864611.515581,0.5205018520355225,0.23706993445696434,-0.0565045667321827,-0.015736601123630928,0.18551469181605337,0.19023186735701075,0.16300261355126983,0.19783795660860837,0.009670637931060773,False,False,False,True
p05,10,1,18.0,corner,0.05,1787864612.0710828,0.13012480735778809,0.3842419953607414,-0.0602628763669993,-0.028908662027407883,0.2406626425386387,0.1946214985645421,0.21815056427385515,0.2022275878161397,0.04640975321460702,False,True,True,False
p05,10,1,19.0,corner,0.05,1787864612.2412086,0.42537593841552734,0.4288183685009822,0.0200890917295856,0.02184829816568462,0.34110905297331284,0.17868669483456612,0.3185969747085293,0.18629278408616373,0.01193390013762654,False,False,False,True
p05,10,1,20.0,corner,0.05,1787864612.6967096,0.370250940322876,0.5221700263814787,0.0554105382270391,0.03849664028518818,0.38283367637481835,0.14197899878034342,0.36032159811003484,0.14958508803194104,0.019588127667739354,False,False,False,True
p05,10,1,21.0,corner,0.05,1787864613.1420867,0.2402501106262207,0.6579283979932223,-0.0493358481192702,-0.029261731326555407,0.3611832620845791,0.14585913127893488,0.33867118381979555,0.15346522053053246,0.09300431983186598,False,True,True,False
p05,10,2,24.0,corner,0.05,1787864615.168969,0.6956267356872559,0.0,0.0,0.0,-0.01749266922899751,0.14568377154856887,-0.04000474749378106,0.1532898608001665,0.046290360099402045,False,True,False,False
p05,10,2,25.0,corner,0.05,1787864615.9045956,1.1361291408538818,0.16469732189635244,-0.011363988222022,0.024636011436980937,0.21726601972137335,0.15760973876105047,0.1947539414565898,0.16521582801264806,0.041428030402206266,False,True,False,False
p05,10,2,26.0,corner,0.05,1787864617.0807247,0.13512611389160156,0.3850345213107403,-0.0265354869158958,-0.029701187977406784,0.26715712344058373,0.1973677569023896,0.24464504517580019,0.20497384615398723,0.02721300939004662,False,False,True,False
p05,10,2,27.0,corner,0.05,1787864617.250851,0.30537939071655273,0.3919232237140106,0.0657141469306694,0.05474344295265621,0.34127584802701555,0.1822988131801268,0.318763769762232,0.18990490243172442,0.01209747687959051,False,False,False,True
p05,10,2,28.0,corner,0.05,1787864617.5762308,0.39037275314331055,0.4793529351092047,0.0863419770874706,0.07131373155746218,0.3733773049089289,0.14376315157463732,0.3508652266441453,0.15136924082623493,0.021370163302003142,False,False,False,True
p05,10,2,30.0,corner,0.05,1787864618.2718546,0.4953761100769043,0.6396897137306122,-0.0858631270926704,-0.029023047063945318,0.3870524857817031,0.14628454183228057,0.3645404075169195,0.15389063108387818,0.05194606853974235,False,True,True,False
p05,66,3,35.0,constrained_to_unconstrained,0.03,1787864621.2346146,0.6055021286010742,0.0,0.0,0.0,-0.0015471984438539224,0.13443615788265575,-0.02405927670863747,0.14204224713425334,0.02690473028642395,False,False,False,True
p05,66,3,36.0,constrained_to_unconstrained,0.03,1787864621.8802416,0.23012614250183105,0.1664270295963374,-0.0090329455934416,-0.029616684768751095,0.15745122813020726,0.10605731641216566,0.1349391498654237,0.11366340566376326,0.016443408560672116,False,False,True,False
p05,66,3,37.0,constrained_to_unconstrained,,1787864622.1503787,0.4104909896850586,0.2352037824336025,-0.0431413584529282,-0.02899688588187818,0.2105800016740194,0.12760412649595987,0.18806792340923587,0.13521021574755748,0.01887243213790986,False,False,True,False
p05,66,3,38.0,constrained_to_unconstrained,,1787864622.5958698,0.6806371212005615,0.2980080673345235,-0.0397551077311391,-0.02869182801828407,0.26168244492027526,0.12533365905511937,0.2391703666554917,0.13293974830671695,0.030288871860550737,False,False,True,False
p05,66,4,40.0,constrained_to_unconstrained,0.03,1787864624.9580028,0.44550085067749023,0.0051287150225028,-0.0051287148937879,-0.0051287150225028,0.018256332116016155,0.13141350885316452,-0.004255746148767392,0.1390195981047621,0.009973190324774547,True,False,False,False
p05,66,4,41.0,constrained_to_unconstrained,0.03,1787864625.4485047,0.2602508068084717,0.1636536144763973,-0.0749480893761953,-0.028826028269500675,0.12908798608280206,0.10674493991599196,0.10657590781801851,0.11435102916758956,0.032296247768157774,False,True,True,False
p05,66,4,42.0,constrained_to_unconstrained,,1787864625.7387557,0.31525588035583496,0.2476987974126554,-0.1250505594981179,-0.02959534913679318,0.21216517319699502,0.1295166950489867,0.18965309493221147,0.13712278430058428,0.02932842753321817,False,False,True,False
p05,66,4,43.0,constrained_to_unconstrained,,1787864626.0841317,0.6706268787384033,0.2956064962335354,-0.0461172058077353,-0.028256068883107943,0.25503948547500216,0.1212040827739539,0.2325274072102186,0.1288101720255515,0.03484334114711406,False,False,True,False
p05,66,5,44.0,constrained_to_unconstrained,0.03,1787864628.1060207,0.530501127243042,0.0,0.0135173526100561,0.0,0.016843873121466197,0.13010749875613523,-0.00566820514331735,0.1377135880077328,0.00957225101529252,False,False,False,True
p05,66,5,45.0,constrained_to_unconstrained,0.03,1787864628.6965156,0.4353771209716797,0.1595135383263644,-0.036022657535171,-0.02865146936084703,0.1080407817357231,0.10980641371289221,0.08552870347093955,0.11741250296448981,0.04704847615687416,False,True,True,False
p05,66,5,46.0,constrained_to_unconstrained,,1787864629.1668923,0.16525030136108398,0.2908119450623918,-0.0735572971196052,-0.029358953609400218,0.2234153796009793,0.12718631058190094,0.20090330133619574,0.13479239983349856,0.06073904896690528,False,True,True,False
p05,66,5,47.0,constrained_to_unconstrained,,1787864629.4422746,0.6004960536956787,0.3023089003553592,-0.0351932181640877,-0.029061037107495857,0.26555361094418245,0.12756110443580698,0.2430415326793989,0.1351671936874046,0.030645102333235922,False,False,True,False
p05,4,6,49.0,,0.025,1787864632.3599038,0.7156269550323486,0.0,0.0069960277919312,0.0,0.006476348764316671,0.14209928607928402,-0.016035729500466875,0.14970537533088163,0.025405637908603312,False,False,False,True
p05,4,6,50.0,,0.025,1787864633.1006556,2.582385301589966,0.04916692236535183,-0.0064235199197931,0.0673859546194645,0.12782846554567287,0.12873929520044958,0.10531638728088932,0.1363453844520472,0.0007315748642741361,False,False,False,True
p05,4,6,51.0,,0.025,1787864635.718048,0.9558706283569336,0.27122383770013603,-0.0041355982049773,-0.009134537308760293,0.2509133472686418,0.137907314284748,0.22840126900385824,0.14551340353634562,0.013728693231204448,False,False,False,True
p05,4,7,53.0,,0.025,1787864637.8550477,0.33025097846984863,0.488179820238514,-0.1016500709061263,-0.028583669677630152,0.3808860226675744,0.13138633898571972,0.3583739444027908,0.13899242823731733,0.06606658910815844,False,True,True,False
p05,4,8,56.0,,0.025,1787864640.6976826,1.010878086090088,0.0,0.0,0.0,-0.004259742265547592,0.1350455628658414,-0.02677182053033114,0.14265165211743902,0.029610718934348065,False,True,False,False
p05,4,8,57.0,,0.025,1787864641.7436855,0.920753002166748,0.07910916030753815,-0.0022298157974678,0.10751121327833088,0.19148598628553373,0.10664823222987972,0.16897390802075019,0.11425432148147732,0.009117818721623261,False,False,False,True
p05,4,8,58.0,,0.025,1787864642.6945636,0.2501261234283447,0.22082845969678908,-0.0686855476908962,-0.028202971180282477,0.1270282216013246,0.1078231513650257,0.10451614333654105,0.1154292406166233,0.07025907837994931,False,True,True,False
p05,4,8,59.0,,0.025,1787864642.9698143,0.8507533073425293,0.2659604194022508,-0.0574026159731628,-0.015967364157249753,0.24379992695923206,0.12873037120011635,0.2212878486944485,0.13633646045171394,0.010214673883253292,False,False,False,True
p05,4,9,62.0,,0.025,1787864644.7214456,0.37525200843811035,0.4942160337223199,-0.0879579095880375,-0.028358537972093256,0.3783318735023277,0.12903849367166215,0.35581979523754415,0.13664458292325976,0.0719302430476359,False,True,True,False
p05,4,10,64.0,,0.025,1787864647.5490878,0.8407459259033203,0.0,0.001796284629459,0.0,0.001730642481095096,0.1334081079318518,-0.020781435783688452,0.14101419718344937,0.02351979193843923,False,False,False,True
p05,4,10,65.0,,0.025,1787864648.4248335,2.1920130252838135,0.0628706271015521,0.0123285396142719,0.10081272499746534,0.16980486802176098,0.10622703420743239,0.14729278975697743,0.11383312345902999,0.002870856024605286,False,False,False,True
p05,4,10,66.0,,0.025,1787864650.6468406,0.18525099754333496,0.3336956746117737,-0.0607939359772765,-0.028790306114829467,0.2540387041038161,0.13113394160010622,0.23152662583903258,0.13874003085170383,0.04490585085882076,False,True,True,False
p05,4,10,67.0,,0.025,1787864650.8570995,0.04500293731689453,0.36284440838294735,-0.0670590290865938,-0.029633243331575132,0.27583213068020146,0.1374361145919796,0.2533200524154179,0.1450422038435772,0.04933649224274922,False,True,True,False
p05,4,11,70.0,,0.025,1787864651.7679696,0.33025097846984863,0.49713720486620144,-0.0800274737481424,-0.029152190817652912,0.3948710662105209,0.13502624739028374,0.3723589879457374,0.14263233664188135,0.06152407974007395,False,True,True,False
p05,15,12,72.0,straight,0.05,1787864654.2502277,0.6206269264221191,0.0,0.0,0.0,-0.02230980262582548,0.14093190088938468,-0.044821880890609025,0.1485379901409823,0.04850420687980681,False,True,False,False
p05,15,12,73.0,straight,0.05,1787864655.3212306,0.5805020332336426,0.4132052575925732,-0.061274032921698,-0.029205257592573197,0.3686330214496841,0.1403492246982264,0.3461209431849005,0.14795531394982397,0.04191916321013911,True,True,True,False
p05,15,13,75.0,straight,0.05,1787864657.6033635,0.5305023193359375,0.0,0.0,0.0,-0.021594568610385365,0.1390641335627529,-0.04410664687516891,0.1466702228143505,0.047151804072070654,False,True,False,False
p05,15,13,76.0,straight,0.05,1787864658.1988657,0.44550585746765137,0.1865226148346778,-0.0195673377131341,-0.00852261483467781,0.1999481874104143,0.1089369604448206,0.17743610914563077,0.1165430496964182,0.013468759570528824,False,False,False,True
p05,15,13,78.0,straight,0.05,1787864658.9696176,0.1301262378692627,0.4454437086092715,-0.0712282022318422,-0.02944370860927148,0.3784908160863969,0.14326403003506052,0.3559787378216134,0.1508701192866581,0.06354615482093284,False,True,True,False
p05,15,14,82.0,straight,0.05,1787864661.4870017,0.09500002861022949,0.0302711576559357,-0.0009093030217511,-0.024271157655935703,0.029432108207437274,0.1301860988906126,0.006920029942653727,0.13779218814221023,0.007846314494014435,False,False,True,False
p05,15,14,83.0,straight,0.05,1787864661.6071265,0.24512720108032227,0.155251365797207,-0.1552513654843656,-0.029251365797206996,0.012136006664093708,0.12310420087084711,-0.010376071600689839,0.13071029012244473,0.13637792129701393,False,True,True,False
p05,15,14,85.0,straight,0.05,1787864662.3327537,0.029999971389770508,0.458,-0.0791940349776346,-0.028000000000000025,0.37767455118534765,0.13169420171671012,0.35516247292056413,0.1393002909683077,0.07541320090979087,False,True,True,False
p05,81,15,87.0,constrained_to_unconstrained,0.05,1787864665.3005135,0.7957522869110107,0.0,0.0070748073810931,0.0,0.017647783929133947,0.1258930748075677,-0.0048642943356496,0.1334991640591653,0.00599212053423384,False,False,False,True
p05,81,15,88.0,constrained_to_unconstrained,0.05,1787864666.1362658,0.2702510356903076,0.1581053274287573,0.0062847366102502,-0.029226017083929634,0.14229488892255518,0.10833471343050156,0.11978281065777163,0.11594080268209916,0.016745367591673842,False,False,True,False
p05,81,15,89.0,constrained_to_unconstrained,,1787864666.4465275,0.16524004936218262,0.25941309972405563,-0.057236367153283,-0.029413099724055453,0.2025456790597669,0.11752014058880923,0.18003360079498335,0.12512622984040683,0.05020353259566151,False,True,True,False
p05,81,15,90.0,constrained_to_unconstrained,,1787864666.7918928,0.2752509117126465,0.39314327197664084,-0.1138280819932444,-0.029187897261269358,0.27654348625790315,0.10907304387549263,0.25403140799311963,0.11667913312709023,0.10710525708792772,False,True,True,False
p05,81,16,91.0,constrained_to_unconstrained,,1787864667.7227707,0.32525110244750977,0.47191940806805877,-0.1987098273236404,-0.029990009264635353,0.2749508527926949,0.108986311580297,0.2524387745279113,0.1165924008318946,0.18652945498982243,False,True,True,False
p05,81,17,94.0,constrained_to_unconstrained,0.05,1787864669.6345267,0.5605020523071289,0.0,0.0287048717873758,0.0019827586206896566,0.025459366999024142,0.13510598206042862,0.0029472887342405947,0.14271207131202623,0.01274861072360384,False,False,False,True
p05,81,17,95.0,constrained_to_unconstrained,0.05,1787864670.2351537,0.21512603759765625,0.1772285876617245,-0.0018384622365668,-0.018607898006551965,0.18114854732774374,0.10637054387020262,0.1586364690629602,0.11397663312180022,0.016023374647779417,False,False,False,True
p05,81,17,96.0,constrained_to_unconstrained,,1787864670.5002797,0.2552511692047119,0.29337203244355625,-0.0825674569963276,-0.029383355276969336,0.2179703596686458,0.12619634838082527,0.19545828140386226,0.1338024376324229,0.06837630190595546,False,True,True,False
p05,81,17,97.0,constrained_to_unconstrained,,1787864670.7956555,0.08500003814697266,0.3899828053387926,-0.136352647717075,-0.028026764574396845,0.2509361052817179,0.12401754033753346,0.22842402701693434,0.13162362958913104,0.13396187863533468,False,True,True,False
p05,81,17,99.0,constrained_to_unconstrained,,1787864671.2010317,0.9808881282806396,0.4582548320016843,-0.2446897578837759,-0.028321436904115094,0.24399122953645616,0.1093669457616216,0.22147915127167261,0.1169730350132192,0.2045484956231195,False,True,True,False
p05,81,18,101.0,constrained_to_unconstrained,0.05,1787864673.603165,0.62062668800354,0.0002570736888654,-0.0002570734317919,-0.0002570736888654,-0.01925888728847713,0.1459023631300427,-0.04177096555326068,0.1535084523816403,0.04793183594054727,False,True,False,False
p05,81,18,102.0,constrained_to_unconstrained,0.05,1787864674.2737918,0.25025105476379395,0.2132743521837347,-0.0099860511724322,-0.02887780045959662,0.16739958166809732,0.10942345408488467,0.14488750340331377,0.11702954333648227,0.04158362232030083,False,True,True,False
p05,81,18,103.0,constrained_to_unconstrained,,1787864674.5641675,0.22512507438659668,0.3460874313633611,-0.1158581755152846,-0.028116737520430535,0.23701940148695805,0.13459754975669463,0.2145073232221745,0.14220363900829225,0.10670028185619372,False,True,True,False
p05,81,18,105.0,constrained_to_unconstrained,,1787864675.0895436,0.6606271266937256,0.45581805254346175,-0.1900837893292324,-0.02988332534784388,0.2571321272520297,0.10919650385842257,0.23462004898724617,0.11680259311002017,0.18778007821690942,False,True,True,False
p05,60,22,118.0,constrained_to_unconstrained,0.01,1787864685.1339498,2.277135133743286,0.0,0.0,0.021810344827586224,0.04334968788221004,0.13529359325061918,0.020837609617426492,0.1428996825022168,0.01293630636801257,False,False,False,True
p05,60,22,119.0,constrained_to_unconstrained,0.01,1787864687.4460895,1.1006932258605957,0.1910546304453143,0.0016000429241149,-0.0007098028591072392,0.2119926424401286,0.13058290184640486,0.18948056417534506,0.13818899109800248,0.008234471837739113,False,False,False,True
p05,60,22,120.0,constrained_to_unconstrained,,1787864688.5717826,0.09512495994567871,0.3742356757479368,-0.1256347240716515,-0.028737840250101232,0.2551163974507739,0.1275998397531848,0.23260431918599037,0.1352059290047824,0.11301348469123362,False,True,True,False
