participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,drift_x,drift_y,keep
p01,1,6,60.0,,0.01,1787848870.5814571,3.132883071899414,0.0,0.0,0.13,0.0,0.032947943453472614,0.028475678785234056,0.13995846037450188,0.03431446191433924,0.13667255608158832,0.012371976094983743,False,False,False,True,1,,False,-0.005838783129105185,0.0032859042929135607,True
p01,1,6,61.0,,0.01,1787848873.744347,1.786747932434082,0.12240108828524034,0.1119735241441672,0.1344722540015281,0.001669188788597,0.01587987441588605,0.1149597878602863,0.12339111216873143,0.12079857098939148,0.12010520787581787,0.004976421024731368,False,False,False,True,1,,False,-0.005838783129105185,0.0032859042929135607,True
p01,1,6,62.0,,0.01,1787848875.5610952,0.6456267833709717,0.15729579629491372,0.1410149511328288,0.1155290946555029,-0.0018870472299536,0.006387555804103717,0.13983885924592798,0.11279242079443086,0.14567764237503317,0.1095065165015173,0.0017925301788299537,False,False,False,True,1,,False,-0.005838783129105185,0.0032859042929135607,True
p01,1,6,63.0,,0.01,1787848876.241722,0.20526385307312012,0.1803027911214888,0.1620857941390973,0.1076750366489968,0.013401019873997,0.020370907580260944,0.17636686831860376,0.11212425425141015,0.18220565144770895,0.10883834995849659,0.003008200943181766,False,False,False,True,1,,False,-0.005838783129105185,0.0032859042929135607,True
p01,1,6,64.0,,0.01,1787848876.471972,4.309017181396484,0.18924964505687117,0.1706644552939114,0.1064590231788079,-0.0091027621910454,0.030418169925431754,0.1945407237143938,0.11444087698582962,0.20037950684349898,0.11115497269291606,0.0006882213557046935,False,False,False,True,1,,False,-0.005838783129105185,0.0032859042929135607,True
p01,1,6,65.0,,0.01,1787848880.8109832,2.672506809234619,0.2938537094812288,0.2638631484261279,0.14903003356771,-0.0028032750463353,0.023188481374150027,0.2811471069513658,0.15481782010979328,0.286985890080471,0.15153191581687972,0.003585312132002656,False,False,False,True,1,,False,-0.005838783129105185,0.0032859042929135607,True
p01,1,6,66.0,,0.01,1787848883.50849,0.4503757953643799,0.3537090385233502,0.3209217414852403,0.1453027881977771,-0.0168628834683046,-0.0055181350811611685,0.31171201954277156,0.154397028155695,0.31755080267187674,0.15111112386278144,0.0036581232701683314,False,False,False,True,1,,False,-0.005838783129105185,0.0032859042929135607,True
p01,1,6,67.0,,0.01,1787848883.993866,1.8567631244659424,0.37387590048560776,0.3390101426121691,0.1360978871891553,-0.0038959523579665,-0.007264385727003941,0.3076266325320752,0.11393844940205611,0.31346541566118036,0.11065254510914255,0.03361243363372788,False,True,False,False,1,,False,-0.005838783129105185,0.0032859042929135607,False
p01,1,6,68.0,,0.01,1787848886.0408711,1.2661290168762207,0.40247498874524407,0.3623728318676577,0.1196607396668893,-0.0168346610020813,-0.009360186358174982,0.33099518333417616,0.10347260128025848,0.33683396646328134,0.10018669698734492,0.029286719475222874,True,True,False,True,1,,False,-0.005838783129105185,0.0032859042929135607,False
p01,1,6,69.0,,0.01,1787848887.341999,2.5373809337615967,0.44831472010230106,0.4048214025156888,0.1057702814569536,-0.0232181729003296,-0.0008553918998518428,0.3987698871773051,0.11177090376461146,0.4046086703064103,0.1084849994716979,0.003517082144759922,False,False,False,False,1,,False,-0.005838783129105185,0.0032859042929135607,True
