participant,type_label,trial_id,width_mm,dur_s,dist_m,dphi_rad,lead_post,inv_speed,kappa_density
p02,sharp,32,12.5,0.32025,0.014,0.349313,-0.007,22.874985,24.950916
p02,sharp,32,12.5,1.741624,0.091,0.406047,-0.007,19.138721,4.462057
p02,sharp,32,12.5,0.070126,0.003,0.018347,-0.004,23.375352,6.115753
p02,sharp,32,12.5,0.145125,0.004,0.036508,0.036,36.281228,9.127082
p02,sharp,32,12.5,0.130125,0.004,0.04826,0.03,32.531261,12.064999
p02,sharp,32,12.5,1.651499,0.101,1.629999,0.034,16.351476,16.138609
p02,sharp,32,12.5,0.390382,0.019,0.661363,-0.023,20.546411,34.808601
p02,sharp,32,12.5,0.09,0.007,0.179555,-0.006,12.857165,25.650679
p02,sharp,32,12.5,0.900749,0.087,0.416163,-0.001,10.353439,4.783481
p02,sharp,32,12.5,0.22025,0.024,0.197781,-0.03,9.177089,8.240856
p02,sharp,32,12.5,0.270237,0.018,0.414299,-0.022,15.013165,23.016628
p02,sharp,32,12.5,2.072,0.132,1.325798,0.028,15.696966,10.043921
p02,sharp,32,12.5,0.840761,0.056,1.420391,0.003,15.013588,25.364128
p02,sharp,32,12.5,1.591507,0.097,0.407207,-0.011,16.407288,4.198009
p02,sharp,32,12.5,0.120125,0.003,0.032107,0.037,40.041685,10.702392
p02,sharp,32,12.5,1.421249,0.108,0.576582,0.005,13.15971,5.338718
p02,sharp,32,12.5,0.330382,0.026,0.581755,-0.012,12.706995,22.375202
p02,sharp,32,12.5,1.516374,0.095,1.06527,0.015,15.96183,11.213366
p02,sharp,32,12.5,1.681624,0.111,1.76335,0.052,15.149767,15.88604
p02,sharp,33,16.5,1.461375,0.068,1.36096,0.131,21.490809,20.014121
p02,sharp,33,16.5,1.701624,0.109,0.623066,-0.007,15.611229,5.716198
p02,sharp,33,16.5,0.340247,0.019,0.323938,-0.014,17.90772,17.049384
p02,sharp,33,16.5,2.592376,0.166,2.152326,0.029,15.616726,12.965819
p02,sharp,33,16.5,0.710625,0.039,0.895281,0.009,18.221152,22.955926
p02,sharp,33,16.5,1.060999,0.09,0.341226,0.002,11.78888,3.791395
p02,sharp,33,16.5,1.261249,0.084,1.621959,0.012,15.01487,19.309041
p02,sharp,33,16.5,0.085005,0.003,0.008465,0.021,28.334936,2.821624
p02,sharp,33,16.5,1.381374,0.113,1.26178,-0.003,12.224548,11.16619
p02,sharp,33,16.5,0.43037,0.034,0.358962,-0.005,12.657944,10.557698
p02,sharp,33,16.5,1.931749,0.145,1.583627,0.067,13.322408,10.921568
p02,sharp,33,16.5,0.300383,0.02,0.573883,-0.009,15.019155,28.694167
p02,sharp,33,16.5,1.441249,0.111,1.000009,0.015,12.984226,9.009089
p02,sharp,33,16.5,1.321249,0.092,1.723518,0.041,14.3614,18.733887
p02,sharp,33,16.5,0.310249,0.024,0.060748,-0.008,12.927045,2.531183
p02,sharp,33,16.5,0.900874,0.041,0.838147,0.002,21.97254,20.442614
p02,sharp,33,16.5,1.431374,0.124,1.048999,0.017,11.543337,8.459667
p02,sharp,33,16.5,0.09,0.004,0.055168,0.046,22.500038,13.791998
p02,sharp,33,16.5,0.090126,0.004,0.06784,0.038,22.531509,16.960032
p02,sharp,33,16.5,0.510375,0.038,1.132404,0.031,13.430915,29.800099
p02,sharp,33,16.5,1.271132,0.131,1.219267,0.044,9.703298,9.307385
p02,sharp,33,16.5,0.420363,0.039,0.716242,-0.011,10.778537,18.365192
p02,sharp,33,16.5,0.470375,0.058,0.123869,-0.012,8.109911,2.135678
p02,sharp,33,16.5,0.210125,0.011,0.053484,-0.019,19.10227,4.862191
p02,sharp,33,16.5,0.530499,0.052,1.18548,0.011,10.201899,22.797697
p02,sharp,33,16.5,0.4905,0.055,0.523071,-0.004,8.918181,9.510383
p02,sharp,34,25.0,0.28025,0.033,0.897226,-0.03,8.492419,27.188681
p02,sharp,34,25.0,0.740625,0.095,0.715986,0.027,7.796054,7.536695
p02,sharp,34,25.0,0.250246,0.026,0.196997,-0.041,9.624839,7.576814
p02,sharp,34,25.0,0.210241,0.031,0.881855,-0.003,6.781963,28.446924
p02,sharp,34,25.0,0.140125,0.018,0.424292,-0.009,7.784724,23.571786
p02,sharp,34,25.0,0.150125,0.01,0.11021,-0.012,15.012503,11.021006
p02,sharp,34,25.0,0.560625,0.065,0.171005,0.008,8.625005,2.630849
p02,sharp,34,25.0,0.450375,0.048,0.663824,0.006,9.382809,13.829671
p02,sharp,34,25.0,0.170265,0.017,0.583941,-0.008,10.0156,34.34945
p02,sharp,34,25.0,1.070995,0.128,0.931152,0.023,8.367147,7.274629
p02,sharp,34,25.0,0.600624,0.083,1.384761,0.02,7.236435,16.683872
p02,sharp,34,25.0,0.22025,0.016,0.541968,-0.016,13.765633,33.873028
p02,sharp,34,25.0,0.460498,0.041,0.643777,0.02,11.231667,15.701868
p02,sharp,34,25.0,0.480361,0.077,0.259964,0.008,6.238457,3.376157
p02,sharp,34,25.0,0.29025,0.026,0.654259,0.048,11.163455,25.163796
p02,sharp,34,25.0,0.5605,0.083,0.554298,0.017,6.753011,6.678284
p02,sharp,34,25.0,0.140125,0.025,0.142169,-0.023,5.604992,5.686764
p02,sharp,34,25.0,0.320239,0.039,1.037623,-0.002,8.211258,26.605724
p02,sharp,34,25.0,0.820743,0.106,0.686731,-0.002,7.742855,6.478591
p02,sharp,34,25.0,0.87076,0.096,1.701278,0.05,9.070419,17.721644
p02,sharp,34,25.0,0.250251,0.026,0.859371,-0.017,9.625041,33.052739
p02,sharp,34,25.0,0.260258,0.012,0.249769,-0.004,21.688143,20.8141
p02,sharp,34,25.0,0.56051,0.082,0.30958,0.026,6.83549,3.775363
p02,sharp,34,25.0,0.150124,0.009,0.057488,0.01,16.680426,6.387508
p02,sharp,34,25.0,0.070124,0.003,0.025123,0.064,23.374557,8.374407
p02,sharp,34,25.0,0.4805,0.052,1.322693,0.058,9.240384,25.436404
p02,sharp,34,25.0,0.29025,0.029,0.32118,0.027,10.008623,11.075173
p02,sharp,34,25.0,0.620624,0.081,0.428275,0.044,7.662028,5.287341
p02,sharp,34,25.0,0.180138,0.022,0.747031,-0.008,8.188085,33.955955
p02,sharp,34,25.0,0.28025,0.038,0.515602,0.0,7.375002,13.568477
p02,sharp,34,25.0,0.400375,0.053,0.09525,-0.011,7.554239,1.797168
p02,sharp,34,25.0,0.380374,0.029,0.322482,0.038,13.116343,11.120071
p02,sharp,34,25.0,0.750907,0.087,1.475737,0.04,8.631114,16.962493
p02,sharp,35,50.0,0.17025,0.015,0.257222,-0.002,11.349996,17.148148
p02,sharp,35,50.0,0.370375,0.062,0.91162,0.031,5.973793,14.703543
p02,sharp,35,50.0,0.440374,0.048,0.100267,0.011,9.174456,2.088901
p02,sharp,35,50.0,0.410374,0.035,0.557392,0.086,11.724969,15.925478
p02,sharp,35,50.0,0.620499,0.096,1.13461,0.052,6.46353,11.818852
p02,sharp,35,50.0,0.26025,0.027,0.11518,-0.015,9.638883,4.265913
p02,sharp,35,50.0,0.42038,0.093,1.691013,0.059,4.520214,18.182934
p02,sharp,35,50.0,0.200141,0.028,0.026998,-0.021,7.147891,0.964197
p02,sharp,35,50.0,0.260124,0.03,0.137462,-0.006,8.670799,4.582062
p02,sharp,35,50.0,0.690611,0.098,1.681827,0.026,7.047052,17.1615
p02,sharp,35,50.0,0.070128,0.012,0.344658,0.003,5.843997,28.721468
p02,sharp,35,50.0,0.190134,0.038,0.863768,-0.013,5.003528,22.730728
p02,sharp,35,50.0,0.230244,0.044,0.116596,-0.012,5.232822,2.64992
p02,sharp,35,50.0,0.360374,0.048,0.312639,0.001,7.507796,6.513307
p02,sharp,35,50.0,0.20025,0.033,1.006357,0.049,6.068186,30.495667
p02,sharp,35,50.0,0.440374,0.08,0.522055,0.03,5.504677,6.525689
p02,sharp,35,50.0,0.24025,0.048,0.477437,-0.012,5.005211,9.946603
p02,sharp,35,50.0,0.430371,0.102,1.222447,0.027,4.219322,11.984775
p02,sharp,35,50.0,0.310389,0.038,0.342601,-0.016,8.168133,9.015826
p02,sharp,35,50.0,0.080125,0.011,0.307738,0.003,7.284099,27.976195
p02,sharp,35,50.0,0.430378,0.069,1.001877,0.03,6.237362,14.519952
p02,sharp,35,50.0,0.120125,0.033,0.678579,0.019,3.640146,20.562996
p02,sharp,35,50.0,0.240249,0.047,0.102632,-0.008,5.111679,2.183661
p02,sharp,35,50.0,0.180248,0.015,0.043492,-0.002,12.016551,2.899437
p02,sharp,35,50.0,0.340252,0.052,1.365744,0.093,6.543311,26.264299
p02,sharp,35,50.0,0.630624,0.117,0.72485,0.021,5.389949,6.195296
p02,sharp,35,50.0,0.250249,0.046,1.084128,-0.028,5.440194,23.568006
p02,sharp,35,50.0,0.21025,0.048,0.113518,-0.013,4.380211,2.36496
p02,sharp,35,50.0,0.210125,0.024,0.118128,-0.009,8.755217,4.921986
p02,sharp,35,50.0,0.210125,0.041,1.091407,0.026,5.124999,26.619681
p02,sharp,35,50.0,0.410357,0.064,0.501724,0.024,6.411828,7.839441
p03,corner,6,10.0,0.335254,0.023,0.0,0.035,14.576269,0.0
p03,corner,6,10.0,0.450496,0.027,0.0,0.006,16.685035,0.0
p03,corner,6,10.0,0.070006,0.011,0.0,0.003,6.364194,0.0
p03,corner,6,10.0,0.360375,0.023,0.0,0.009,15.668485,0.0
p03,corner,6,10.0,0.080125,0.015,0.0,0.007,5.341657,0.0
p03,corner,6,10.0,1.776637,0.086,1.570796,-0.006,20.658568,18.265074
p03,corner,6,10.0,1.441375,0.051,0.0,-0.031,28.262255,0.0
p03,corner,6,10.0,0.155125,0.011,1.570796,0.019,14.102286,142.799666
p03,corner,6,10.0,0.765762,0.028,0.0,0.003,27.348638,0.0
p03,corner,6,10.0,0.555499,0.043,0.0,0.022,12.918583,0.0
p03,corner,6,10.0,0.460509,0.048,0.0,0.02,9.593929,0.0
p03,corner,6,10.0,2.977754,0.079,1.570796,0.011,37.69309,19.883498
p03,corner,6,10.0,1.136129,0.045,0.0,0.012,25.247309,0.0
p03,corner,6,10.0,0.970875,0.098,0.0,0.057,9.906888,0.0
p03,corner,6,10.0,1.531375,0.068,1.570796,0.015,22.520227,23.099946
p03,corner,6,10.0,1.050991,0.065,0.0,-0.017,16.16909,0.0
p03,corner,6,10.0,1.161118,0.044,1.570796,0.014,26.389046,35.699917
p03,corner,6,10.0,0.665625,0.073,0.0,0.019,9.118152,0.0
p03,corner,6,10.0,0.25025,0.025,0.0,0.008,10.010004,0.0
p03,corner,6,10.0,2.186999,0.083,1.570796,0.007,26.349389,18.925257
p03,corner,6,10.0,0.340376,0.025,0.0,0.014,13.615036,0.0
p03,corner,6,10.0,0.370375,0.05,0.0,0.009,7.407498,0.0
p03,corner,6,10.0,0.84075,0.04,1.570796,0.004,21.018755,39.269908
p03,corner,6,10.0,1.035999,0.068,0.0,-0.018,15.23528,0.0
p03,corner,6,10.0,0.830869,0.038,1.570796,0.008,21.864973,41.336745
p03,corner,7,12.5,0.400374,0.042,0.0,-0.006,9.532718,0.0
p03,corner,7,12.5,1.721623,0.1,1.570796,0.01,17.216229,15.707963
p03,corner,7,12.5,0.360375,0.019,0.0,-0.021,18.967114,0.0
p03,corner,7,12.5,0.720625,0.029,0.0,0.01,24.849144,0.0
p03,corner,7,12.5,0.320385,0.028,0.0,0.04,11.442312,0.0
p03,corner,7,12.5,0.70064,0.074,0.0,0.01,9.468104,0.0
p03,corner,7,12.5,2.222122,0.071,1.570796,0.01,31.297492,22.123892
p03,corner,7,12.5,0.830748,0.037,0.0,0.014,22.452657,0.0
p03,corner,7,12.5,0.310249,0.047,0.0,-0.005,6.601044,0.0
p03,corner,7,12.5,1.411373,0.063,1.570796,0.009,22.402748,24.933275
p03,corner,7,12.5,0.740761,0.054,0.0,-0.016,13.717801,0.0
p03,corner,7,12.5,1.351239,0.064,1.570796,-0.017,21.113105,24.543693
p03,corner,7,12.5,0.790758,0.09,0.0,0.007,8.786201,0.0
p03,corner,7,12.5,2.577372,0.086,1.570796,0.015,29.969443,18.265074
p03,corner,7,12.5,0.320245,0.017,0.0,-0.035,18.837943,0.0
p03,corner,7,12.5,0.350386,0.01,0.0,-0.001,35.038614,0.0
p03,corner,7,12.5,0.680618,0.051,0.0,-0.006,13.345447,0.0
p03,corner,7,12.5,0.310375,0.025,0.0,-0.015,12.414989,0.0
p03,corner,7,12.5,1.501566,0.061,1.570796,0.01,24.615831,25.750759
p03,corner,7,12.5,0.740744,0.044,0.0,-0.02,16.835093,0.0
p03,corner,7,12.5,0.700632,0.031,1.570796,-0.011,22.601028,50.670849
p03,corner,7,12.5,1.051004,0.03,0.0,0.006,35.033464,0.0
p03,corner,7,12.5,0.5705,0.029,0.0,0.017,19.67241,0.0
p03,corner,7,12.5,0.350366,0.042,0.0,0.018,8.342045,0.0
p03,corner,7,12.5,2.587374,0.098,1.570796,0.018,26.401778,16.028534
p03,corner,7,12.5,0.590625,0.036,0.0,-0.009,16.406245,0.0
p03,corner,7,12.5,0.35025,0.037,0.0,0.022,9.466216,0.0
p03,corner,8,16.5,0.750625,0.143,0.0,0.123,5.249128,0.0
p03,corner,8,16.5,0.250125,0.011,1.570796,-0.007,22.738652,142.799666
p03,corner,8,16.5,0.210243,0.014,0.0,0.002,15.017339,0.0
p03,corner,8,16.5,1.166124,0.073,0.0,-0.009,15.974303,0.0
p03,corner,8,16.5,0.060006,0.006,0.0,0.012,10.001024,0.0
p03,corner,8,16.5,0.295243,0.019,1.570796,0.051,15.539107,82.673491
p03,corner,8,16.5,0.540509,0.062,0.0,-0.001,8.717883,0.0
p03,corner,8,16.5,0.350375,0.027,0.0,-0.01,12.97685,0.0
p03,corner,8,16.5,0.580496,0.066,1.570796,0.012,8.795395,23.799944
p03,corner,8,16.5,0.240127,0.042,0.0,0.006,5.717306,0.0
p03,corner,8,16.5,0.25525,0.035,0.0,0.004,7.292863,0.0
p03,corner,8,16.5,0.785624,0.054,1.570796,0.008,14.548598,29.088821
p03,corner,8,16.5,0.200248,0.018,0.0,0.017,11.124916,0.0
p03,corner,8,16.5,0.06,0.004,0.0,0.026,14.999986,0.0
p03,corner,8,16.5,0.09512,0.009,0.0,0.0,10.568884,0.0
p03,corner,9,25.0,0.4555,0.085,0.0,-0.003,5.358822,0.0
p03,corner,9,25.0,0.700613,0.026,1.570796,0.011,26.946664,60.415243
p03,corner,9,25.0,0.365372,0.039,0.0,0.045,9.368524,0.0
p03,corner,9,25.0,0.23525,0.038,0.523599,-0.021,6.190796,13.778915
p03,corner,9,25.0,0.220251,0.021,0.0,0.051,10.488147,0.0
p03,corner,9,25.0,0.305243,0.056,0.0,0.032,5.450768,0.0
p03,corner,9,25.0,0.365378,0.052,0.0,-0.004,7.026503,0.0
p03,corner,9,25.0,0.620625,0.052,1.570796,-0.004,11.935087,30.207622
p03,corner,9,25.0,0.28025,0.026,0.0,-0.027,10.778849,0.0
p03,corner,9,25.0,0.445375,0.04,1.570796,-0.012,11.134374,39.269908
p03,corner,9,25.0,0.335387,0.044,0.0,0.01,7.622432,0.0
p03,corner,9,25.0,0.450367,0.044,1.570796,-0.009,10.235608,35.699917
p03,corner,9,25.0,0.510499,0.055,0.0,-0.02,9.2818,0.0
p03,corner,9,25.0,0.20525,0.012,0.0,-0.005,17.104149,0.0
p03,corner,9,25.0,0.345253,0.044,1.570796,0.015,7.846653,35.699917
p03,corner,9,25.0,0.25525,0.032,0.0,0.014,7.976569,0.0
p03,corner,9,25.0,0.205259,0.042,0.0,0.008,4.887115,0.0
p03,corner,10,50.0,0.400375,0.101,0.0,0.226,3.964108,0.0
p03,corner,10,50.0,0.135113,0.019,0.0,0.009,7.111223,0.0
p03,corner,10,50.0,0.105,0.006,0.0,0.045,17.499924,0.0
p03,corner,10,50.0,0.25025,0.054,1.570796,0.038,4.634261,29.088821
p03,corner,10,50.0,0.640632,0.085,1.570796,0.013,7.536843,18.479957
p03,corner,10,50.0,0.050136,0.005,0.0,-0.003,10.02717,0.0
p03,corner,10,50.0,0.27525,0.054,0.0,0.026,5.097226,0.0
p03,corner,10,50.0,0.475374,0.086,1.570796,0.081,5.527604,18.265074
p03,corner,10,50.0,0.390364,0.053,0.0,0.036,7.365357,0.0
p03,corner,10,50.0,0.495375,0.078,0.0,0.114,6.35096,0.0
p03,corner,10,50.0,0.355242,0.047,0.0,0.027,7.558341,0.0
p03,corner,10,50.0,0.525499,0.103,1.570796,0.03,5.101935,15.25045
p03,corner,10,50.0,0.160125,0.056,1.570796,0.033,2.859375,28.049934
p03,corner,10,50.0,0.22525,0.051,0.0,0.012,4.416671,0.0
p03,corner,10,50.0,0.230242,0.038,0.0,0.072,6.059,0.0
p03,corner,10,50.0,0.390375,0.042,1.570796,0.07,9.29464,37.399913
p03,corner,10,50.0,0.26025,0.036,0.0,0.107,7.229163,0.0
p03,corner,10,50.0,0.33525,0.058,0.0,0.063,5.780175,0.0
p03,corner,10,50.0,0.670625,0.105,1.570796,0.01,6.386907,14.959965
p03,corner,10,50.0,0.160125,0.016,0.0,-0.052,10.007828,0.0
p03,corner,10,50.0,0.300235,0.078,1.570796,0.036,3.849167,20.138414
p03,corner,10,50.0,0.295254,0.06,0.0,0.043,4.920896,0.0
p03,corner,10,50.0,0.510375,0.085,1.570796,0.064,6.004415,18.479957
p03,corner,10,50.0,0.575637,0.107,1.570796,-0.006,5.379784,14.68034
p03,straight,11,10.0,0.720625,0.101,0.0,-0.017,7.134903,0.0
p03,straight,11,10.0,1.010995,0.206,0.0,0.004,4.907742,0.0
p03,straight,11,10.0,0.610508,0.071,0.0,-0.018,8.598707,0.0
p03,straight,11,10.0,0.320375,0.051,0.0,-0.026,6.281862,0.0
p03,straight,11,10.0,0.245123,0.035,0.0,-0.02,7.003525,0.0
p03,straight,11,10.0,0.340375,0.027,0.0,0.036,12.60648,0.0
p03,straight,12,12.5,0.720635,0.101,0.0,0.043,7.135002,0.0
p03,straight,12,12.5,0.31025,0.046,0.0,-0.005,6.744571,0.0
p03,straight,12,12.5,0.465375,0.066,0.0,0.004,7.051139,0.0
p03,straight,12,12.5,0.365379,0.08,0.0,0.007,4.567242,0.0
p03,straight,12,12.5,0.23025,0.017,0.0,-0.007,13.544125,0.0
p03,straight,12,12.5,0.17525,0.038,0.0,-0.015,4.611844,0.0
p03,straight,12,12.5,0.5555,0.135,0.0,-0.003,4.114815,0.0
p03,straight,12,12.5,0.160125,0.007,0.0,-0.029,22.875002,0.0
p03,straight,12,12.5,0.4905,0.094,0.0,0.027,5.218087,0.0
p03,straight,12,12.5,0.390376,0.071,0.0,0.008,5.498255,0.0
p03,straight,12,12.5,0.505375,0.124,0.0,0.016,4.075604,0.0
p03,straight,12,12.5,0.145125,0.031,0.0,-0.023,4.681456,0.0
p03,straight,12,12.5,0.245238,0.054,0.0,-0.005,4.541441,0.0
p03,straight,12,12.5,0.215125,0.035,0.0,-0.008,6.146424,0.0
p03,straight,13,16.5,0.215254,0.03,0.0,-0.011,7.175136,0.0
p03,straight,13,16.5,0.395375,0.112,0.0,0.011,3.530132,0.0
p03,straight,13,16.5,0.245233,0.067,0.0,-0.009,3.660191,0.0
p03,straight,13,16.5,0.23025,0.071,0.0,-0.015,3.242956,0.0
p03,straight,13,16.5,0.31525,0.044,0.0,0.019,7.164771,0.0
p03,straight,13,16.5,0.305369,0.098,0.0,-0.033,3.116014,0.0
p03,straight,13,16.5,0.205125,0.073,0.0,-0.031,2.80993,0.0
p03,straight,13,16.5,0.225116,0.055,0.0,-0.031,4.093023,0.0
p03,straight,13,16.5,0.165125,0.037,0.0,-0.065,4.462841,0.0
p03,straight,13,16.5,0.33025,0.101,0.0,-0.027,3.269802,0.0
p03,straight,13,16.5,0.260249,0.06,0.0,-0.049,4.337478,0.0
p03,straight,13,16.5,0.29525,0.065,0.0,-0.032,4.54231,0.0
p03,straight,14,25.0,0.240125,0.076,0.0,-0.048,3.159542,0.0
p03,straight,14,25.0,0.335244,0.132,0.0,-0.038,2.539727,0.0
p03,straight,14,25.0,0.23025,0.079,0.0,-0.064,2.914555,0.0
p03,straight,14,25.0,0.475375,0.028,0.0,0.027,16.977685,0.0
p03,straight,15,50.0,0.230125,0.04,0.0,-0.054,5.753118,0.0
p03,straight,15,50.0,0.210125,0.069,0.0,-0.043,3.045293,0.0
p03,straight,15,50.0,0.280249,0.121,0.0,-0.022,2.316108,0.0
p03,straight,15,50.0,0.16012,0.06,0.0,-0.048,2.668667,0.0
p03,straight,15,50.0,0.29026,0.103,0.0,-0.04,2.818057,0.0
p03,straight,15,50.0,0.5005,0.172,0.0,0.017,2.909886,0.0
p03,straight,15,50.0,0.165125,0.067,0.0,-0.082,2.464554,0.0
p03,gentle,26,10.0,1.771627,0.073,0.65409,-0.001,24.268862,8.960139
p03,gentle,27,12.5,1.241249,0.06,0.401684,0.024,20.687485,6.694729
p03,gentle,27,12.5,0.36025,0.023,0.227987,-0.008,15.663033,9.912481
p03,gentle,27,12.5,0.545504,0.034,0.136604,-0.006,16.044231,4.017762
p03,gentle,27,12.5,0.75075,0.043,0.203636,0.004,17.459304,4.735723
p03,gentle,27,12.5,0.4655,0.029,0.31206,0.006,16.05172,10.7607
p03,gentle,27,12.5,1.77662,0.009,0.082437,0.011,197.402212,9.159624
p03,gentle,27,12.5,0.605499,0.051,0.506139,0.007,11.87253,9.924296
p03,gentle,27,12.5,0.5805,0.043,0.160281,0.002,13.500003,3.727475
p03,gentle,27,12.5,0.095135,0.004,0.028298,0.004,23.783743,7.074527
p03,gentle,27,12.5,1.056,0.064,0.592854,0.006,16.5,9.263346
p03,gentle,27,12.5,0.455374,0.025,0.050386,0.006,18.21496,2.015457
p03,gentle,27,12.5,0.420366,0.025,0.118707,0.035,16.814642,4.748285
p03,gentle,27,12.5,0.845741,0.056,0.546402,0.009,15.102518,9.757179
p03,gentle,27,12.5,0.885875,0.063,0.225865,0.009,14.061504,3.585165
p03,gentle,27,12.5,0.280238,0.03,0.3054,0.007,9.341264,10.180009
p03,gentle,27,12.5,0.28525,0.017,0.093955,0.005,16.779409,5.52679
p03,gentle,27,12.5,0.615624,0.049,0.448743,-0.002,12.563754,9.158012
p03,gentle,27,12.5,0.500373,0.055,0.189648,-0.01,9.097689,3.448148
p03,gentle,27,12.5,0.275366,0.03,0.315198,-0.02,9.178869,10.506589
p03,gentle,27,12.5,0.440381,0.04,0.280787,-0.002,11.009532,7.019674
p03,gentle,27,12.5,0.70562,0.044,0.140825,-0.002,16.036825,3.200559
p03,gentle,28,16.5,0.665625,0.083,0.448996,-0.01,8.019579,5.409594
p03,gentle,28,16.5,0.430375,0.042,0.398606,0.011,10.24702,9.490623
p03,gentle,28,16.5,0.430381,0.048,0.283854,0.0,8.966272,5.91363
p03,gentle,28,16.5,0.250261,0.043,0.206408,0.006,5.820025,4.800192
p03,gentle,28,16.5,0.345363,0.036,0.373989,-0.01,9.593421,10.388579
p03,gentle,28,16.5,0.23025,0.016,0.095067,-0.013,14.390633,5.941683
p03,gentle,28,16.5,0.375375,0.042,0.103549,0.0,8.937501,2.465456
p03,gentle,28,16.5,1.471375,0.106,0.76708,0.012,13.880896,7.236602
p03,gentle,28,16.5,0.6255,0.051,0.245013,-0.002,12.26471,4.804184
p03,gentle,28,16.5,0.475506,0.042,0.420256,-0.008,11.321573,10.006093
p03,gentle,28,16.5,0.31525,0.025,0.095605,-0.002,12.610006,3.824184
p03,gentle,28,16.5,0.069999,0.008,0.004177,0.012,8.749902,0.522164
p03,gentle,28,16.5,0.675625,0.063,0.491358,0.017,10.724208,7.799338
p03,gentle,28,16.5,0.330375,0.043,0.257301,-0.001,7.683144,5.983756
p03,gentle,28,16.5,0.450504,0.035,0.370005,0.0,12.871538,10.571584
p03,gentle,28,16.5,0.465375,0.032,0.100588,-0.002,14.54296,3.143389
p03,gentle,28,16.5,0.775761,0.084,0.657286,0.011,9.235252,7.824828
p03,gentle,28,16.5,0.560512,0.052,0.157731,0.006,10.779074,3.033286
p03,gentle,28,16.5,0.255254,0.035,0.311648,0.003,7.292972,8.904232
p03,gentle,28,16.5,0.22525,0.014,0.117481,-0.004,16.089286,8.391496
p03,gentle,28,16.5,0.515506,0.034,0.104272,0.0,15.161935,3.06683
p03,gentle,29,25.0,0.415375,0.063,0.485544,0.022,6.593254,7.707044
p03,gentle,29,25.0,0.285375,0.042,0.261844,-0.012,6.79464,6.234385
p03,gentle,29,25.0,0.315245,0.033,0.099612,0.004,9.552883,3.018542
p03,gentle,29,25.0,0.320374,0.037,0.366787,-0.008,8.65877,9.913167
p03,gentle,29,25.0,0.28025,0.03,0.243752,-0.007,9.341661,8.125067
p03,gentle,29,25.0,0.365375,0.027,0.051543,0.001,13.532409,1.908982
p03,gentle,29,25.0,0.275244,0.025,0.171098,0.019,11.00976,6.843906
p03,gentle,29,25.0,0.285259,0.046,0.456141,-0.002,6.201283,9.916103
p03,gentle,29,25.0,0.23025,0.057,0.186057,-0.009,4.039472,3.264165
p03,gentle,29,25.0,0.195119,0.064,0.589965,-0.039,3.048733,9.218207
p03,gentle,29,25.0,0.33025,0.057,0.445452,-0.011,5.79386,7.814945
p03,gentle,29,25.0,0.500505,0.089,0.616963,-0.007,5.623654,6.932174
p03,gentle,29,25.0,0.220249,0.032,0.14095,-0.016,6.882779,4.404694
p03,gentle,29,25.0,0.345257,0.05,0.266371,-0.005,6.905136,5.327423
p03,gentle,29,25.0,0.315371,0.07,0.469862,0.001,4.505301,6.712311
p03,gentle,29,25.0,0.25025,0.038,0.223335,-0.019,6.585529,5.877224
p03,gentle,29,25.0,0.400375,0.05,0.447424,0.012,8.007507,8.948483
p03,gentle,29,25.0,0.450379,0.092,0.585942,0.008,4.895425,6.36893
p03,gentle,29,25.0,0.425498,0.07,0.285103,-0.001,6.078543,4.072897
p03,gentle,29,25.0,0.34025,0.046,0.462837,-0.006,7.396739,10.061674
p03,gentle,29,25.0,0.26525,0.024,0.142428,-0.01,11.052092,5.934497
p03,gentle,29,25.0,0.36025,0.074,0.437132,0.003,4.868243,5.907183
p03,gentle,29,25.0,0.25525,0.037,0.282326,-0.003,6.898654,7.630429
p03,gentle,30,50.0,0.435375,0.158,1.134127,0.145,2.755538,7.178018
p03,gentle,30,50.0,0.260125,0.075,0.33277,-0.008,3.468332,4.43694
p03,gentle,30,50.0,0.29025,0.092,0.640211,-0.004,3.154889,6.958816
p03,gentle,30,50.0,0.45038,0.148,1.058875,0.021,3.043109,7.154564
p03,gentle,30,50.0,0.230251,0.067,0.291162,-0.025,3.436576,4.345701
p03,gentle,30,50.0,0.400378,0.129,0.85314,0.022,3.103705,6.613487
p03,gentle,30,50.0,0.330375,0.085,0.50054,0.016,3.886764,5.888706
p03,sharp,31,10.0,1.821742,0.081,0.539968,0.001,22.49064,6.666275
p03,sharp,31,10.0,0.505494,0.027,0.123594,-0.001,18.722004,4.577551
p03,sharp,31,10.0,0.930875,0.035,0.779035,-0.003,26.59643,22.258147
p03,sharp,31,10.0,0.565625,0.023,0.778754,-0.006,24.592389,33.858881
p03,sharp,31,10.0,0.285254,0.017,0.055165,-0.03,16.779647,3.245024
p03,sharp,31,10.0,0.77075,0.035,0.666052,-0.008,22.021423,19.030064
p03,sharp,31,10.0,1.191136,0.066,0.162551,0.002,18.047517,2.4629
p03,sharp,31,10.0,0.790751,0.04,0.532792,0.011,19.76878,13.319802
p03,sharp,31,10.0,1.236125,0.035,0.339477,0.012,35.317857,9.699349
p03,sharp,31,10.0,0.880875,0.037,1.115213,0.026,23.807435,30.14088
p03,sharp,31,10.0,1.981875,0.093,0.459549,-0.008,21.310481,4.941386
p03,sharp,31,10.0,0.435375,0.025,0.282467,0.021,17.414999,11.298689
p03,sharp,31,10.0,0.24525,0.009,0.310063,-0.004,27.249999,34.45145
