participant,type_label,trial_id,width_mm,dur_s,dist_m,dphi_rad,lead_post,inv_speed,kappa_density
p01,sharp,31,10.0,0.320375,0.014,0.399665,-0.032,22.883926,28.54753
p01,sharp,31,10.0,0.6305,0.024,0.272884,-0.003,26.270837,11.370175
p01,sharp,31,10.0,1.326124,0.06,0.129251,0.01,22.102066,2.154179
p01,sharp,31,10.0,0.350375,0.01,0.051877,-0.004,35.037494,5.187652
p01,sharp,31,10.0,0.880875,0.017,0.168907,0.054,51.816169,9.935683
p01,sharp,31,10.0,0.230247,0.007,0.121394,0.026,32.892432,17.341945
p01,sharp,31,10.0,0.440375,0.022,0.501583,0.0,20.01705,22.799245
p01,sharp,31,10.0,0.420375,0.023,0.693149,0.073,18.277168,30.136918
p01,sharp,31,10.0,0.630622,0.054,0.303426,0.021,11.678188,5.618998
p01,sharp,31,10.0,0.430375,0.011,0.008374,-0.005,39.124987,0.761301
p01,sharp,31,10.0,0.530501,0.029,0.122262,0.018,18.293134,4.215924
p01,sharp,31,10.0,0.590495,0.031,0.585142,0.015,19.048229,18.875534
p01,sharp,31,10.0,1.351249,0.062,1.404146,-0.009,21.794338,22.64752
p01,sharp,31,10.0,0.420375,0.015,0.215901,-0.02,28.024991,14.393367
p01,sharp,31,10.0,0.580625,0.033,0.140907,-0.001,17.594699,4.269905
p01,sharp,31,10.0,0.5505,0.025,0.021082,-0.011,22.019997,0.84329
p01,sharp,31,10.0,0.23025,0.014,0.051571,0.007,16.446437,3.683678
p01,sharp,31,10.0,0.050013,0.003,0.017312,0.018,16.670942,5.770816
p01,sharp,31,10.0,0.090124,0.004,0.028431,0.052,22.530973,7.107839
p01,sharp,31,10.0,0.430375,0.027,0.453047,0.043,15.93981,16.779515
p01,sharp,31,10.0,1.32126,0.055,1.181534,-0.007,24.022913,21.482431
p01,sharp,31,10.0,1.361254,0.065,0.150175,0.012,20.942369,2.310392
p01,sharp,31,10.0,0.6005,0.036,0.528013,-0.006,16.680565,14.66702
p01,sharp,31,10.0,1.26125,0.045,1.12254,-0.003,28.027778,24.945332
p01,sharp,31,10.0,1.481375,0.055,0.147859,0.003,26.934091,2.688354
p01,sharp,31,10.0,0.76075,0.03,0.137462,-0.004,25.358335,4.582062
p01,sharp,31,10.0,0.560497,0.025,0.439694,0.002,22.419882,17.587764
p01,sharp,31,10.0,0.360377,0.014,0.496921,0.003,25.74122,35.494328
p01,sharp,31,10.0,0.87075,0.032,0.620769,0.016,27.210936,19.399023
p01,sharp,32,12.5,0.430375,0.047,1.233766,-0.009,9.156917,26.250333
p01,sharp,32,12.5,0.355254,0.025,0.139643,-0.018,14.210157,5.585727
p01,sharp,32,12.5,0.350375,0.006,0.01164,0.021,58.395863,1.939968
p01,sharp,32,12.5,0.405374,0.041,0.08236,0.055,9.887172,2.008791
p01,sharp,32,12.5,0.85075,0.054,1.239003,0.034,15.754633,22.944496
p01,sharp,32,12.5,0.980871,0.071,0.510211,0.006,13.815084,7.186064
p01,sharp,32,12.5,0.365373,0.031,0.109139,-0.026,11.786222,3.520614
p01,sharp,32,12.5,0.495499,0.035,0.682351,-0.032,14.157118,19.495735
p01,sharp,32,12.5,0.490499,0.031,0.788801,-0.013,15.822541,25.445207
p01,sharp,32,12.5,0.5805,0.055,0.197912,0.013,10.554548,3.5984
p01,sharp,32,12.5,0.4305,0.054,0.43434,0.007,7.972223,8.043326
p01,sharp,32,12.5,0.420367,0.029,0.93613,-0.007,14.495414,32.28033
p01,sharp,32,12.5,0.30025,0.012,0.217362,-0.003,25.020818,18.11347
p01,sharp,32,12.5,0.535503,0.04,0.216427,0.0,13.387573,5.410677
p01,sharp,32,12.5,0.21025,0.005,0.004782,-0.019,42.04998,0.956446
p01,sharp,32,12.5,0.470499,0.028,0.039098,0.023,16.803537,1.396356
p01,sharp,32,12.5,0.715625,0.038,0.145366,0.102,18.832244,3.825425
p01,sharp,32,12.5,0.465506,0.015,0.207265,0.053,31.033723,13.817642
p01,sharp,32,12.5,0.23525,0.008,0.001965,-0.009,29.406279,0.245642
p01,sharp,32,12.5,0.375375,0.015,0.021996,-0.003,25.025002,1.466382
p01,sharp,32,12.5,0.74075,0.035,0.25403,0.02,21.164281,7.258011
p01,sharp,32,12.5,0.5255,0.024,0.661764,0.038,21.895846,27.57352
p01,sharp,32,12.5,0.650624,0.03,0.726124,0.027,21.687468,24.204144
p01,sharp,32,12.5,0.445375,0.034,0.17334,0.026,13.099271,5.098236
p01,sharp,32,12.5,0.345375,0.012,0.009996,0.009,28.781255,0.832981
p01,sharp,32,12.5,0.260246,0.009,0.00479,0.015,28.916226,0.532273
p01,sharp,32,12.5,0.6105,0.032,0.120037,0.004,19.078121,3.751143
p01,sharp,32,12.5,0.33525,0.014,0.156408,0.0,23.946421,11.172032
p01,sharp,32,12.5,0.355383,0.004,0.071091,0.041,88.84573,17.77274
p01,sharp,32,12.5,0.31025,0.006,0.137831,0.044,51.708341,22.971792
p01,sharp,32,12.5,0.86075,0.039,1.114627,0.09,22.070506,28.580179
p01,sharp,32,12.5,0.685622,0.039,0.22613,0.004,17.580051,5.798215
p01,sharp,32,12.5,0.430375,0.032,1.008469,-0.013,13.449214,31.51465
p01,sharp,32,12.5,0.5305,0.016,0.237532,0.012,33.156261,14.845767
p01,sharp,32,12.5,0.580624,0.047,0.156459,0.014,12.353699,3.328918
p01,sharp,32,12.5,0.420362,0.026,0.062181,0.002,16.167769,2.391576
p01,sharp,32,12.5,0.550499,0.029,0.335174,0.025,18.982739,11.557727
p01,sharp,32,12.5,0.650624,0.024,0.0535,0.01,27.109335,2.229155
p01,sharp,32,12.5,0.390377,0.02,0.420676,0.001,19.51884,21.03381
p01,sharp,32,12.5,0.5905,0.016,0.129929,0.005,36.906257,8.120549
p01,sharp,32,12.5,0.580633,0.051,0.090014,0.102,11.384964,1.764976
p01,sharp,32,12.5,0.150135,0.016,0.093163,0.002,9.38344,5.822706
p01,sharp,32,12.5,0.490506,0.034,0.747377,0.01,14.426645,21.981667
p01,sharp,32,12.5,0.27025,0.018,0.549555,0.023,15.013893,30.53081
p01,sharp,32,12.5,0.730616,0.049,0.359037,0.019,14.910528,7.327286
p01,sharp,33,16.5,0.81075,0.033,0.6608,0.005,24.568182,20.024249
p01,sharp,33,16.5,0.520511,0.025,0.71171,0.007,20.820436,28.468392
p01,sharp,33,16.5,0.560499,0.036,0.267118,0.022,15.569415,7.419932
p01,sharp,33,16.5,0.480375,0.034,0.038086,0.049,14.128678,1.120165
p01,sharp,33,16.5,0.520375,0.017,0.058233,0.051,30.610295,3.425446
p01,sharp,33,16.5,0.5405,0.017,0.13953,0.027,31.794127,8.207658
p01,sharp,33,16.5,0.460374,0.016,0.290711,0.05,28.773382,18.169426
p01,sharp,33,16.5,0.360375,0.018,0.61831,0.018,20.020843,34.350541
p01,sharp,33,16.5,0.230249,0.017,0.409081,0.022,13.544055,24.063592
p01,sharp,33,16.5,0.210125,0.012,0.139492,0.008,17.510434,11.624372
p01,sharp,33,16.5,0.080135,0.003,0.018699,0.01,26.711702,6.233125
